"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","도로조건","계약면적(㎡)","전월세구분","계약년월","계약일","보증금(만원)","월세(만원)","건축년도","도로명"
"경상남도 거제시 고현동","3**","25m미만","33","월세","202011","11","200","25","2015","거제중앙로"
"경상남도 거제시 고현동","7**","8m미만","33","월세","202004","13","200","26","2011","고현로2길"
"경상남도 거제시 고현동","1**","8m미만","33","월세","202010","13","1,000","26","2014","계룡로10길"
"경상남도 거제시 고현동","1***","12m미만","33","월세","202009","14","300","25","2014","중곡로1길"
"경상남도 거제시 고현동","1**","8m미만","33","월세","202012","14","1,500","5","2014","계룡로10길"
"경상남도 거제시 고현동","2**","12m미만","33","월세","202009","15","100","21","2004","거제중앙로12길"
"경상남도 거제시 고현동","1**","8m미만","33","월세","202102","15","500","19","2013","고현로4길"
"경상남도 거제시 고현동","4**","8m미만","33","월세","202009","15","1,500","10","2012","계룡로8길"
"경상남도 거제시 고현동","2**","12m미만","33","월세","202101","16","50","22","2006","거제중앙로12길"
"경상남도 거제시 고현동","4**","25m미만","33","월세","202011","16","100","18","2006","동문천로"
"경상남도 거제시 고현동","6**","25m미만","33","월세","202101","16","150","25","2013","계룡로"
