"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","전세","84.9973","202011","19","19,000","0","2","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","전세","84.9973","202012","3","22,000","0","1","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","월세","84.9973","202012","24","1,000","70","3","2013","고현천로 227"
"경상남도 거제시 상동동","307","0307","0000","상동청목아델하임","월세","84.9973","202101","30","1,000","70","4","2013","고현천로 227"
"경상남도 거제시 상동동","1076","1076","0000","상동파크아델하임","월세","73.1702","202003","3","6,000","15","4","2017","고현천로 225"
"경상남도 거제시 상동동","1076","1076","0000","상동파크아델하임","월세","73.1702","202004","16","1,000","45","4","2017","고현천로 225"
"경상남도 거제시 상동동","1076","1076","0000","상동파크아델하임","월세","73.1702","202007","27","1,000","45","4","2017","고현천로 225"
"경상남도 거제시 상동동","1076","1076","0000","상동파크아델하임","전세","73.1702","202008","7","13,500","0","1","2017","고현천로 225"
"경상남도 거제시 상동동","1076","1076","0000","상동파크아델하임","월세","73.1702","202008","18","1,000","55","1","2017","고현천로 225"
"경상남도 거제시 상동동","1076","1076","0000","상동파크아델하임","전세","73.1702","202101","18","15,000","0","1","2017","고현천로 225"
"경상남도 거제시 상동동","481-14","0481","0014","우정빌라트","전세","82.0988","202009","24","6,000","0","4","2003","계룡로 36"
"경상남도 거제시 상동동","481-15","0481","0015","청솔빌라","월세","84.5","202005","21","100","15","4","2000","계룡로 38"
"경상남도 거제시 상동동","625-3","0625","0003","태극휴먼빌","월세","24.1356","202102","18","300","25","4","2012","상동13길 8"
"경상남도 거제시 상동동","625-3","0625","0003","태극휴먼빌","월세","24.1356","202102","23","500","20","3","2012","상동13길 8"
"경상남도 거제시 수월동","135-5","0135","0005","극동럭스빌Ⅱ","전세","66.0883","202006","22","7,000","0","1","2011","수양1길 66-1"
"경상남도 거제시 수월동","135-5","0135","0005","극동럭스빌Ⅱ","전세","66.0883","202009","17","7,000","0","3","2011","수양1길 66-1"
"경상남도 거제시 수월동","802","0802","0000","리오그린빌","전세","74.39","202008","28","10,000","0","3","2009","해명로12길 12"
"경상남도 거제시 수월동","802","0802","0000","리오그린빌","전세","76.4","202011","14","8,000","0","3","2009","해명로12길 12"
"경상남도 거제시 수월동","1043-74","1043","0074","리오그린타운","전세","43.83","202003","24","6,000","0","3","2014","해명로 22-8"
"경상남도 거제시 수월동","1043-74","1043","0074","리오그린타운","월세","44.31","202008","1","300","25","3","2014","해명로 22-8"
"경상남도 거제시 수월동","1043-74","1043","0074","리오그린타운","전세","44.31","202009","15","700","0","5","2014","해명로 22-8"
"경상남도 거제시 수월동","1043-74","1043","0074","리오그린타운","전세","44.31","202010","20","6,000","0","3","2014","해명로 22-8"
"경상남도 거제시 수월동","1043-74","1043","0074","리오그린타운","월세","44.31","202011","17","200","28","2","2014","해명로 22-8"
"경상남도 거제시 수월동","1043-74","1043","0074","리오그린타운","월세","43.83","202012","3","200","30","3","2014","해명로 22-8"
"경상남도 거제시 수월동","823","0823","0000","스마트빌","월세","62.29","202008","13","200","33","4","2012","해명로 67-1"
"경상남도 거제시 아주동","251-1","0251","0001","동익아트빌라","전세","95.655","202007","17","7,000","0","3","1998","아주1길 17-1"
"경상남도 거제시 아주동","1658-17","1658","0017","비잔티움101동","월세","66.2366","202101","24","300","45","3","2013","용소3길 5"
"경상남도 거제시 아주동","1658-11","1658","0011","비잔티움102동","월세","66.2366","202007","15","500","40","3","2013","용소3길 7"
"경상남도 거제시 아주동","716-1","0716","0001","송평빌라","전세","74.23","202006","27","4,000","0","3","1993","용소5길 12-2"
"경상남도 거제시 아주동","1278-2","1278","0002","예솔마을3","전세","75.88","202102","21","3,000","0","3","2004","아주로9길 21-2"
"경상남도 거제시 양정동","948-2","0948","0002","양정쉐르빌","월세","22.02","202008","11","300","25","4","2007","제산로 6"
"경상남도 거제시 양정동","989-5","0989","0005","청명화이트","월세","77.86","202005","21","1,500","25","1","2003","거제대로 4601"
"경상남도 거제시 양정동","989-5","0989","0005","청명화이트","전세","77.86","202006","2","6,000","0","3","2003","거제대로 4601"
"경상남도 거제시 양정동","989-5","0989","0005","청명화이트","전세","69.255","202009","29","7,500","0","3","2003","거제대로 4601"
"경상남도 거제시 양정동","989-5","0989","0005","청명화이트","전세","77.86","202010","23","8,500","0","2","2003","거제대로 4601"
"경상남도 거제시 양정동","989-5","0989","0005","청명화이트","월세","69.255","202101","11","3,000","27","3","2003","거제대로 4601"
"경상남도 거제시 연초면 오비리","173","0173","0000","(173-0)","월세","64.3708","202006","5","500","60","4","2008","연하해안로 271"
"경상남도 거제시 연초면 오비리","173","0173","0000","(173-0)","월세","71.1697","202006","27","500","50","4","2008","연하해안로 271"
"경상남도 거제시 연초면 오비리","173","0173","0000","(173-0)","월세","63.7336","202007","21","500","50","3","2008","연하해안로 271"
"경상남도 거제시 연초면 오비리","173","0173","0000","(173-0)","월세","59.7617","202101","2","100","50","2","2008","연하해안로 271"
"경상남도 거제시 연초면 오비리","762-5","0762","0005","오비대성루첸하우스","전세","49.8276","202003","28","2,000","0","2","2014","연하해안로 637-7"
"경상남도 거제시 연초면 오비리","762-5","0762","0005","오비대성루첸하우스","월세","49.8276","202003","30","1,800","10","4","2014","연하해안로 637-7"
"경상남도 거제시 연초면 오비리","1188","1188","0000","오비이레빌라","전세","75.0745","202011","27","5,000","0","4","2016","오비4길 15"
"경상남도 거제시 연초면 오비리","108-5","0108","0005","파인리치빌","월세","66.4791","202003","10","300","25","1","2011","소오비1길 31-11"
"경상남도 거제시 연초면 죽토리","1103-5","1103","0005","거마연초","월세","75.9","202011","16","500","25","2","1997","거제북로 52"
"경상남도 거제시 옥포동","540-15","0540","0015","국화","월세","52.11","202004","4","1,000","17","3","1984","옥포로16길 12"
"경상남도 거제시 옥포동","1241-3","1241","0003","벨르뷰빌라","월세","84.94","202010","13","3,000","55","4","2016","성산로 77"
"경상남도 거제시 옥포동","1241-3","1241","0003","벨르뷰빌라","월세","84.84","202012","13","1,000","40","-2","2016","성산로 77"
"경상남도 거제시 옥포동","519-1","0519","0001","삼우빌딩","전세","84.495","202009","28","8,000","0","6","2004","옥포로 232"
"경상남도 거제시 옥포동","527-3","0527","0003","에스코빌","전세","28.98","202003","7","3,000","0","4","2007","거제대로 3786"
"경상남도 거제시 옥포동","552-5","0552","0005","옥포3차한국그린빌라가나동","전세","74.25","202011","10","6,000","0","4","1997","옥포대첩로2길 57"
"경상남도 거제시 옥포동","1260","1260","0000","외인빌라","월세","109.41","202101","19","500","25","4","2000","옥포로 351"
"경상남도 거제시 옥포동","536-41","0536","0041","우주주택","월세","44.85","202005","15","50","8","2","1984","옥포로17길 3"
"경상남도 거제시 옥포동","1510","1510","0000","청솔빌라","전세","75.015","202101","8","4,000","0","4","1999","거제대로 3809-11"
"경상남도 거제시 옥포동","541-18","0541","0018","한려주택","월세","50.22","202007","1","100","20","2","1985","옥포로12길 21"
"경상남도 거제시 옥포동","541-18","0541","0018","한려주택","전세","50.22","202009","16","3,000","0","3","1985","옥포로12길 21"
"경상남도 거제시 옥포동","541-18","0541","0018","한려주택","전세","53.85","202012","15","3,500","0","1","1985","옥포로12길 21"
"경상남도 거제시 옥포동","518-26","0518","0026","해바라기","전세","45.11","202005","15","2,000","0","2","1985","옥포로21길 12"
"경상남도 거제시 옥포동","948","0948","0000","해성아트빌B동","전세","79.8","202003","20","5,000","0","2","2002","옥포로26길 15-8"
"경상남도 거제시 일운면 구조라리","58-4","0058","0004","진보빌라","전세","57","202003","1","2,500","0","1","1995","구조라로2길 16"
"경상남도 거제시 일운면 소동리","97-1","0097","0001","비버리힐즈워터프론트","월세","108.46","202101","12","200","50","4","2012","소동6길 17-3"
"경상남도 거제시 일운면 옥림리","227","0227","0000","거제리우","월세","84.7837","202005","16","1,000","50","2","2015","옥림3길 30"
"경상남도 거제시 일운면 옥림리","227","0227","0000","거제리우","월세","84.7837","202008","31","1,000","35","1","2015","옥림3길 30"
"경상남도 거제시 일운면 옥림리","227","0227","0000","거제리우","월세","84.7837","202010","18","1,000","70","2","2015","옥림3길 30"
"경상남도 거제시 일운면 옥림리","227","0227","0000","거제리우","월세","84.7837","202012","3","1,000","65","1","2015","옥림3길 30"
"경상남도 거제시 일운면 옥림리","227","0227","0000","거제리우","월세","84.7837","202101","27","200","45","1","2015","옥림3길 30"
"경상남도 거제시 장목면 외포리","1251-10","1251","0010","디오션뷰","월세","84.97","202005","6","1,500","55","3","2016","옥포대첩로 536-23"
"경상남도 거제시 장목면 외포리","1251-10","1251","0010","디오션뷰","전세","84.97","202006","27","19,000","0","3","2016","옥포대첩로 536-23"
