"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"경상남도 거제시 능포동","일반","4**","능포로","제2종일반주거","제1종근린생활","25m미만","358.18","347.00","24,500","null","202008","24"," ","1983",""
"경상남도 거제시 능포동","일반","3**","능포로2길","일반상업","기타","12m미만","298.32","317.00","35,000","null","202009","30"," ","2010",""
"경상남도 거제시 능포동","집합","6**","-","일반상업","제2종근린생활","25m미만","61.6"," ","22,000","null","202012","15"," ","1984",""
"경상남도 거제시 덕포동","일반","4**","옥포대첩로","자연녹지","제2종근린생활","25m이상","82.6","1159.00","63,716","null","202007","22"," ","2016",""
"경상남도 거제시 덕포동","집합","1**","옥포대첩로","자연녹지","제2종근린생활","25m이상","129.77"," ","8,000","null","202008","23"," ","2014",""
"경상남도 거제시 동부면 가배리","일반","4*","거제남서로","자연환경보전","제2종근린생활","12m미만","413.03","1904.00","90,000","null","202101","20"," ","1994","20210303"
"경상남도 거제시 동부면 오송리","일반","7**","가배오송길","자연환경보전","제1종근린생활","12m미만","98.4","382.00","19,350","null","202005","25"," ","2018",""
"경상남도 거제시 동부면 율포리","일반","1**","율포3길","계획관리","제2종근린생활","8m미만","113.64","321.00","13,350","null","202004","11"," ","2011",""
"경상남도 거제시 동부면 학동리","일반","5**","학동6길","계획관리","숙박","12m미만","1782.82","867.00","292,000","null","202005","1"," ","2003",""
"경상남도 거제시 동부면 학동리","일반","4**","거제중앙로","계획관리","숙박","12m미만","1668.92","940.00","397,000","null","202007","3"," ","2003",""
"경상남도 거제시 동부면 학동리","일반","2**","거제중앙로","계획관리","제1종근린생활","12m미만","1776.74","993.00","297,294","null","202012","18"," ","2013",""
"경상남도 거제시 둔덕면 거림리","일반","2**","청마로","계획관리","기타","12m미만","144.9","231.00","7,000","null","202008","22"," ","1980",""
"경상남도 거제시 둔덕면 술역리","일반","1*","거제남서로","계획관리","제2종근린생활","12m미만","106.2","365.00","12,500","null","202006","2"," ","2010",""
"경상남도 거제시 둔덕면 술역리","일반","1*","거제남서로","계획관리","제1종근린생활","12m미만","73.6","212.00","8,000","null","202006","2"," ","1991",""
"경상남도 거제시 둔덕면 어구리","일반","1**","어구길","계획관리","제1종근린생활","8m미만","64.68","205.00","11,400","null","202006","15"," ","2008",""
"경상남도 거제시 문동동","일반","1*","문동4길","보전관리","제2종근린생활","8m미만","489.92","5874.00","176,243","null","202012","14"," ","2011",""
"경상남도 거제시 사등면 사곡리","집합","5*","모래실길","자연녹지","제2종근린생활","8m미만","83.31"," ","10,000","null","202004","6"," ","2012",""
"경상남도 거제시 사등면 사곡리","집합","4*","모래실길","자연녹지","제2종근린생활","8m미만","83.31"," ","10,000","null","202004","6"," ","2012",""
"경상남도 거제시 사등면 사곡리","집합","9**","두동로","계획관리","제2종근린생활","8m미만","41.7"," ","28,300","1","202010","21"," ","2017",""
"경상남도 거제시 사등면 사등리","일반","2***","성포로","계획관리","숙박","12m미만","760.26","997.00","228,015","null","202010","27"," ","2007",""
"경상남도 거제시 사등면 사등리","일반","3**","언양로","계획관리","교육연구","12m미만","1174.32","1452.00","249,004","null","202101","27"," ","2018",""
"경상남도 거제시 사등면 성포리","집합","9*","성포로","계획관리","제1종근린생활","12m미만","30.6"," ","3,500","1","202006","29"," ","1998",""
"경상남도 거제시 사등면 창호리","일반","2***","가조서로2길","계획관리","제2종근린생활","8m미만","33.6","109.00","6,400","null","202012","6"," ","2014",""
"경상남도 거제시 상동동","일반","8**","상동7길","제2종일반주거","기타","8m미만","447.84","414.00","127,339","null","202005","6"," ","2011",""
"경상남도 거제시 상동동","집합","9**","상동5길","계획관리","제2종근린생활","12m미만","77.25"," ","37,500","null","202005","27"," ","2015",""
"경상남도 거제시 상동동","집합","7*","상동1길","계획관리","제1종근린생활","12m미만","87.6"," ","12,000","1","202005","28"," ","2011",""
"경상남도 거제시 상동동","집합","7**","상동7길","제2종일반주거","제2종근린생활","25m미만","29"," ","12,500","2","202006","27"," ","2005",""
"경상남도 거제시 상동동","집합","7**","상동7길","제2종일반주거","교육연구","25m미만","108.8"," ","20,000","5","202009","22"," ","2005",""
"경상남도 거제시 상동동","일반","2*","거제중앙로","계획관리","제1종근린생활","25m미만","489.68","1243.00","234,825","null","202010","19"," ","2011",""
"경상남도 거제시 상동동","일반","4**","거제중앙로","제2종일반주거","제1종근린생활","25m미만","130.71","222.20","50,794","null","202010","27"," ","2010",""
"경상남도 거제시 상동동","집합","1***","상동3길","제2종일반주거","제2종근린생활","12m미만","30.45"," ","8,880","2","202010","30"," ","2018",""
"경상남도 거제시 상동동","집합","1***","상동3길","제2종일반주거","제2종근린생활","12m미만","47.13"," ","13,740","2","202010","30"," ","2018",""
"경상남도 거제시 상동동","집합","1***","상동3길","제2종일반주거","제2종근린생활","12m미만","30.45"," ","8,880","2","202010","30"," ","2018",""
"경상남도 거제시 상동동","집합","7**","상동7길","제2종일반주거","제1종근린생활","25m미만","38.25"," ","19,300","1","202102","18"," ","2005",""
"경상남도 거제시 수월동","일반","1***","해명로","제2종일반주거","판매","25m미만","98.34","186.00","41,800","null","202004","3"," ","2009",""
"경상남도 거제시 수월동","집합","1***","수양로","제3종일반주거","제2종근린생활","12m미만","122.26"," ","27,117","3","202007","10"," ","2013",""
"경상남도 거제시 수월동","집합","1***","수양로","제3종일반주거","제2종근린생활","12m미만","122.26"," ","27,117","2","202007","10"," ","2013",""
"경상남도 거제시 수월동","일반","1***","수양로","제2종일반주거","제2종근린생활","25m미만","473.38","239.00","129,700","null","202007","16"," ","2012",""
"경상남도 거제시 수월동","집합","1***","수양로","제3종일반주거","제1종근린생활","25m미만","39.08"," ","9,000","3","202010","15"," ","2008",""
"경상남도 거제시 수월동","집합","1***","수양로","제3종일반주거","제2종근린생활","25m미만","32.13"," ","8,000","3","202010","15"," ","2008",""
"경상남도 거제시 수월동","집합","1***","수양로","제3종일반주거","제2종근린생활","25m미만","32.13"," ","8,000","3","202010","15"," ","2008",""
"경상남도 거제시 수월동","집합","1***","수양로","제3종일반주거","제2종근린생활","25m미만","43.47"," ","10,000","3","202010","15"," ","2008",""
"경상남도 거제시 수월동","집합","1***","수양로","제3종일반주거","제2종근린생활","25m미만","43.47"," ","10,000","3","202010","15"," ","2008",""
"경상남도 거제시 수월동","집합","1***","해명로","제2종일반주거","제1종근린생활","12m미만","78.27"," ","11,250","1","202010","19"," ","2011",""
"경상남도 거제시 수월동","일반","1***","수양로","제3종일반주거","제2종근린생활","25m미만","459.73","221.00","97,000","null","202012","30"," ","2010",""
"경상남도 거제시 수월동","일반","5**","수월2길","계획관리","제2종근린생활","8m미만","99.9","269.00","17,200","null","202102","3"," ","2007",""
"경상남도 거제시 수월동","집합","1***","수양로","제3종일반주거","제2종근린생활","25m미만","17.44"," ","8,000","2","202102","26"," ","2008",""
"경상남도 거제시 아주동","일반","2**","아주로","자연녹지","기타","8m미만","2146.96","5711.00","555,000","null","202004","27"," ","2017",""
"경상남도 거제시 아주동","집합","1***","아주1로4길","일반상업","숙박","25m미만","27.46"," ","10,010","7","202005","21"," ","2018",""
