"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라남도 목포시 상동","822-5","822","5","21세기오피스텔(822-5)","27.84","202007","13","2,100","7","2001","교육로 100",""
"전라남도 목포시 상동","822-5","822","5","21세기오피스텔(822-5)","27.84","202008","6","2,000","3","2001","교육로 100",""
"전라남도 목포시 상동","822-5","822","5","21세기오피스텔(822-5)","27.84","202011","18","2,000","4","2001","교육로 100",""
"전라남도 목포시 상동","822-5","822","5","21세기오피스텔(822-5)","27.84","202012","5","1,600","3","2001","교육로 100","20201230"
"전라남도 목포시 상동","823-7","823","7","21세기하이트오피스텔","20.35","202003","18","1,200","2","2003","교육로 91",""
"전라남도 목포시 상동","823-7","823","7","21세기하이트오피스텔","18.36","202004","15","1,200","3","2003","교육로 91",""
"전라남도 목포시 상동","823-7","823","7","21세기하이트오피스텔","20.35","202004","15","1,300","3","2003","교육로 91",""
"전라남도 목포시 상동","823-7","823","7","21세기하이트오피스텔","20.35","202011","16","700","3","2003","교육로 91",""
"전라남도 목포시 상동","823-7","823","7","21세기하이트오피스텔","20.35","202102","18","1,250","6","2003","교육로 91",""
"전라남도 목포시 상동","1154-1","1154","1","건국샹제리제2","115.44","202010","23","12,000","3","2003","평화로 52",""
"전라남도 목포시 상동","926-4","926","4","건국샹제리제오피스텔","32.45","202004","15","2,600","6","2001","삼각로 10",""
"전라남도 목포시 상동","567-21","567","21","로데오타운2","60.55","202003","26","2,500","6","2003","하당로153번길 21",""
"전라남도 목포시 상동","567-21","567","21","로데오타운2","39.31","202011","22","3,000","8","2003","하당로153번길 21",""
"전라남도 목포시 상동","1140-4","1140","4","미래오피스텔","27.9","202003","19","3,500","9","2001","평화로107번길 9",""
"전라남도 목포시 상동","1140-4","1140","4","미래오피스텔","27.9","202004","22","2,550","4","2001","평화로107번길 9",""
"전라남도 목포시 상동","1140-4","1140","4","미래오피스텔","24.75","202004","30","2,250","4","2001","평화로107번길 9",""
"전라남도 목포시 상동","1140-4","1140","4","미래오피스텔","24.75","202006","2","2,450","9","2001","평화로107번길 9",""
"전라남도 목포시 상동","1140-4","1140","4","미래오피스텔","24.75","202006","24","2,550","4","2001","평화로107번길 9",""
"전라남도 목포시 상동","1140-4","1140","4","미래오피스텔","24.75","202010","14","2,600","5","2001","평화로107번길 9",""
"전라남도 목포시 상동","1140-4","1140","4","미래오피스텔","27.9","202101","5","1,850","5","2001","평화로107번길 9",""
"전라남도 목포시 상동","1148-1","1148","1","초원오피스텔","41","202004","29","5,250","4","2002","원형서로 42",""
"전라남도 목포시 상동","1148-1","1148","1","초원오피스텔","44.88","202004","29","5,000","7","2002","원형서로 42",""
"전라남도 목포시 상동","1148-1","1148","1","초원오피스텔","41","202007","9","4,800","6","2002","원형서로 42",""
"전라남도 목포시 상동","1148-1","1148","1","초원오피스텔","41","202010","9","4,500","6","2002","원형서로 42",""
"전라남도 목포시 상동","1148-1","1148","1","초원오피스텔","41","202010","14","4,800","5","2002","원형서로 42",""
"전라남도 목포시 상동","1148-1","1148","1","초원오피스텔","41","202011","5","5,500","8","2002","원형서로 42",""
"전라남도 목포시 상동","1148-1","1148","1","초원오피스텔","41","202101","1","4,800","4","2002","원형서로 42",""
"전라남도 목포시 상동","1148-1","1148","1","초원오피스텔","41","202101","18","5,200","5","2002","원형서로 42",""
"전라남도 목포시 상동","1148-1","1148","1","초원오피스텔","41","202102","17","5,500","8","2002","원형서로 42",""
"전라남도 목포시 상동","816-1","816","1","풍림오피스텔 1","39.47","202007","3","4,000","7","2003","백년대로297번길 39",""
"전라남도 목포시 상동","816-1","816","1","풍림오피스텔 1","29.29","202012","2","2,200","4","2003","백년대로297번길 39",""
"전라남도 목포시 상동","816-1","816","1","풍림오피스텔 1","39.47","202102","5","1,900","5","2003","백년대로297번길 39",""
"전라남도 목포시 상동","816-2","816","2","풍림오피스텔 2","29.29","202010","19","1,700","4","2003","백년대로297번길 39",""
"전라남도 목포시 상동","816-2","816","2","풍림오피스텔 2","39.47","202101","21","2,800","6","2003","백년대로297번길 39",""
"전라남도 목포시 상동","788-4","788","4","플래티늄오피스텔","28.69","202006","29","1,800","2","2002","양을로532번길 2",""
"전라남도 목포시 상동","788-4","788","4","플래티늄오피스텔","28.69","202008","24","1,820","4","2002","양을로532번길 2",""
"전라남도 목포시 상동","788-4","788","4","플래티늄오피스텔","28.69","202011","12","1,500","5","2002","양을로532번길 2",""
"전라남도 목포시 상동","788-4","788","4","플래티늄오피스텔","28.69","202012","8","2,000","5","2002","양을로532번길 2",""
"전라남도 목포시 상동","788-4","788","4","플래티늄오피스텔","28.69","202012","9","1,800","4","2002","양을로532번길 2",""
"전라남도 목포시 상동","788-4","788","4","플래티늄오피스텔","28.69","202102","3","1,828","3","2002","양을로532번길 2",""
"전라남도 목포시 상동","829-17","829","17","하당로데오타운(829-17)","39.32","202101","8","4,300","3","2002","백년대로297번길 17","20210111"
"전라남도 목포시 상동","829-17","829","17","하당로데오타운(829-17)","39.32","202101","11","4,300","3","2002","백년대로297번길 17",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","2","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","2","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","1","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","1","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","2","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","2","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","2","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","3","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","4","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.73","202009","17","2,130","5","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","1","2003","보리마당로 14",""
"전라남도 목포시 서산동","13-2","13","2","광장1오피스텔","31.49","202009","17","2,113","1","2003","보리마당로 14",""
