"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 강원도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"강원도 강릉시 노암동","245-24","0245","0024","더힐","전세","45.75","202101","8","14,000","0","5","2018","율곡로2747번길 5"
"강원도 강릉시 노암동","267-8","0267","0008","성덕주택(금모래)","월세","49.14","202006","30","200","35","1","1983","강변로312번길 3"
"강원도 강릉시 대전동","565-3","0565","0003","다올캐슬타운","월세","93.52","202004","27","4,000","50","2","2019","과학단지로21번길 5-30"
"강원도 강릉시 사천면 사천진리","24-5","0024","0005","선경","전세","49.65","202005","1","4,500","0","2","1995","진리해변길 36"
"강원도 강릉시 사천면 사천진리","54-9","0054","0009","하평빌2","월세","66.44","202007","29","8,000","25","4","2017","공회당길 8"
"강원도 강릉시 송정동","17-12","0017","0012","(17-12)","전세","78.4","202008","12","15,000","0","5","2014","팔송길 30"
"강원도 강릉시 송정동","210","0210","0000","(210-0)","월세","58.15","202008","21","3,000","50","2","2015","팔송길15번길 17-1"
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","월세","56.34","202009","29","3,000","30","1","1986","송정길 15"
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","월세","56.34","202010","29","1,000","45","2","1986","송정길 15"
"강원도 강릉시 송정동","216-1","0216","0001","소라A단지","전세","56.34","202101","21","5,000","0","2","1986","송정길 15"
"강원도 강릉시 송정동","110-42","0110","0042","송정","전세","68.39","202101","27","7,000","0","2","1980","팔송길18번길 7"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","67.18","202003","7","21,000","0","5","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","68.22","202003","10","17,000","0","2","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","68.22","202003","10","17,000","0","2","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202003","17","20,000","0","2","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202004","6","19,000","0","4","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","68.22","202004","9","15,000","0","4","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202006","19","19,000","0","2","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202007","6","20,000","0","4","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202007","19","24,000","0","5","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","110-58","0110","0058","송정오벨리스크","전세","71.03","202008","21","22,000","0","3","2016","경강로2533번길 3-5"
"강원도 강릉시 송정동","39-4","0039","0004","해당화","월세","39.64","202011","18","200","25","2","1979","해안로 91"
"강원도 강릉시 송정동","110-81","0110","0081","화이트캐슬","전세","84.69","202003","17","19,000","0","1","2017","경강로 2531"
"강원도 강릉시 연곡면 영진리","357-30","0357","0030","ES프라우드","월세","49.8618","202004","14","2,000","50","5","2016","영진길 33"
"강원도 강릉시 연곡면 영진리","353-71","0353","0071","동방 이스트빌(109~111동)","월세","71.12","202009","8","4,000","25","4","2015","연주로 162"
"강원도 강릉시 연곡면 영진리","353-71","0353","0071","동방 이스트빌(109~111동)","전세","71.12","202009","28","10,000","0","3","2015","연주로 162"
"강원도 강릉시 연곡면 영진리","353-71","0353","0071","동방 이스트빌(109~111동)","월세","58.79","202011","19","1,000","50","2","2015","연주로 162"
"강원도 강릉시 연곡면 영진리","353-71","0353","0071","동방 이스트빌(109~111동)","월세","71.12","202101","8","2,500","35","5","2015","연주로 162"
"강원도 강릉시 연곡면 영진리","353-69","0353","0069","동방이스트빌(104~105동)","전세","71.12","202004","27","2,000","0","3","2016","연주로 162"
"강원도 강릉시 연곡면 영진리","353-69","0353","0069","동방이스트빌(104~105동)","월세","71.12","202007","7","1,500","45","3","2016","연주로 162"
"강원도 강릉시 연곡면 영진리","353-70","0353","0070","동방이스트빌(106~108동)","월세","70.415","202006","10","2,000","40","5","2015","연주로 162"
"강원도 강릉시 연곡면 영진리","353-70","0353","0070","동방이스트빌(106~108동)","월세","70.415","202007","28","500","57","2","2015","연주로 162"
"강원도 강릉시 연곡면 영진리","353-70","0353","0070","동방이스트빌(106~108동)","월세","65.495","202009","29","2,000","40","2","2015","연주로 162"
"강원도 강릉시 연곡면 영진리","353-70","0353","0070","동방이스트빌(106~108동)","월세","65.495","202102","23","2,000","40","5","2015","연주로 162"
"강원도 강릉시 연곡면 영진리","161","0161","0000","동해의아침","월세","31.59","202005","28","100","50","4","2003","영진1길 65"
"강원도 강릉시 옥계면 현내리","417-3","0417","0003","엘스테이","전세","71.57","202004","7","19,000","0","2","2019","현내중길 9-3"
"강원도 강릉시 옥계면 현내리","417-3","0417","0003","엘스테이","전세","71.57","202101","28","18,700","0","5","2019","현내중길 9-3"
"강원도 강릉시 옥천동","223","0223","0000","동부시장주택","전세","54.98","202006","30","3,000","0","3","1977","옥천로 48"
"강원도 강릉시 옥천동","368-3","0368","0003","유일","전세","55.08","202011","11","3,500","0","3","1984","중기길 7"
"강원도 강릉시 용강동","29","0029","0000","서부시장","전세","53.08","202007","30","5,000","0","4","1982","임영로155번길 6"
"강원도 강릉시 용강동","29","0029","0000","서부시장","월세","53.08","202009","30","500","40","3","1982","임영로155번길 6"
"강원도 강릉시 용강동","29","0029","0000","서부시장","월세","53.08","202012","7","1,500","38","3","1982","임영로155번길 6"
"강원도 강릉시 유천동","793","0793","0000","강릉유천 더 테라스 아리스타","전세","84.7242","202010","26","32,000","0","2","2020","위촌길 30"
"강원도 강릉시 유천동","793","0793","0000","강릉유천 더 테라스 아리스타","전세","128.9549","202011","3","43,000","0","-2","2020","위촌길 30"
"강원도 강릉시 임당동","89-21","0089","0021","세화","월세","70.71","202101","12","1,500","40","1","1981","경강로2095번길 6-1"
"강원도 강릉시 입암동","498-6","0498","0006","대목임대","월세","31.15","202011","7","200","20","3","1987","용지로 43"
"강원도 강릉시 주문진읍 교항리","331-3","0331","0003","(331-3)","전세","49.71","202012","11","4,500","0","3","1990","교항원길 28"
"강원도 강릉시 주문진읍 교항리","67-7","0067","0007","신영","월세","57.69","202009","10","1,000","25","2","1984","신리4길 2"
"강원도 강릉시 죽헌동","438-2","0438","0002","죽헌솔향타운","전세","70.7869","202005","6","16,000","0","3","2018","유죽길533번길 10-6"
"강원도 강릉시 죽헌동","438-2","0438","0002","죽헌솔향타운","월세","70.7869","202007","24","15,000","10","1","2018","유죽길533번길 10-6"
"강원도 강릉시 죽헌동","438-2","0438","0002","죽헌솔향타운","전세","70.7869","202008","13","15,500","0","1","2018","유죽길533번길 10-6"
"강원도 강릉시 초당동","127-8","0127","0008","한솔빌라2차","전세","98.04","202003","6","9,000","0","4","1992","강릉대로587번길 9-6"
"강원도 강릉시 포남동","1194-9","1194","0009","강릉지청관사","전세","84.24","202003","16","8,000","0","1","1989","경강로2333번길 10"
"강원도 강릉시 포남동","438-1","0438","0001","동산","월세","70.74","202011","14","300","40","3","1986","보래미상길 100"
"강원도 강릉시 포남동","1190","1190","0000","동해주택","월세","50.1","202006","27","300","30","2","1981","경강로2323번길 3"
"강원도 강릉시 포남동","1278","1278","0000","민락","월세","57.42","202003","27","1,000","40","1","1984","경강로2356번길 13"
"강원도 강릉시 포남동","1278","1278","0000","민락","월세","57.42","202007","7","500","40","3","1984","경강로2356번길 13"
"강원도 강릉시 포남동","1278","1278","0000","민락","월세","57.42","202102","16","2,000","45","1","1984","경강로2356번길 13"
"강원도 강릉시 포남동","1082-3","1082","0003","베스트빌","전세","114.52","202102","17","20,000","0","3","2005","강릉대로419번길 9-1"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","전세","48.6","202003","4","5,500","0","3","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","전세","48.6","202003","26","5,000","0","3","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","월세","48.6","202003","27","300","30","2","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","전세","48.6","202004","27","4,000","0","3","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","월세","48.6","202007","5","500","35","1","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","전세","48.6","202010","13","4,500","0","2","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","월세","48.6","202010","20","1,000","27","3","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","전세","48.6","202010","30","6,500","0","3","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","전세","48.6","202011","10","3,500","0","3","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","전세","48.6","202012","2","5,600","0","1","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","월세","48.6","202101","8","500","40","2","1988","강릉대로419번길 54"
"강원도 강릉시 포남동","515","0515","0000","삼화임대","월세","48.6","202101","25","300","30","2","1988","강릉대로419번길 54"
