"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 인천광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"인천광역시 강화군 강화읍 관청리","20-3","0020","0003","강화그린빌라","59.59","53.83","202010","27","6,300","2","1998","새말길8번길 5-40",""
"인천광역시 강화군 강화읍 관청리","106-1","0106","0001","강화타운","74.5","54.06","202003","6","6,500","2","2001","강화대로368번길 8",""
"인천광역시 강화군 강화읍 관청리","34-6","0034","0006","고려팰리스 3차","84.31","55.73","202011","25","16,000","3","2017","새말길8번길 5-15",""
"인천광역시 강화군 강화읍 관청리","34-6","0034","0006","고려팰리스 3차","84.31","56.81","202012","14","16,700","3","2017","새말길8번길 5-15",""
"인천광역시 강화군 강화읍 관청리","34-6","0034","0006","고려팰리스 3차","84.16","56.71","202012","30","18,500","5","2017","새말길8번길 5-15",""
"인천광역시 강화군 강화읍 관청리","555","0555","0000","고려팰리스(가동,나동)","58.22","35.35","202007","23","13,700","5","2015","송악길6번길 18",""
"인천광역시 강화군 강화읍 관청리","555","0555","0000","고려팰리스(가동,나동)","58.22","35.35","202008","3","13,400","5","2015","송악길6번길 18",""
"인천광역시 강화군 강화읍 관청리","555","0555","0000","고려팰리스(가동,나동)","58.22","35.35","202010","10","13,300","2","2015","송악길6번길 18","20201123"
"인천광역시 강화군 강화읍 관청리","555","0555","0000","고려팰리스(가동,나동)","58.22","35.35","202011","26","13,300","2","2015","송악길6번길 18",""
"인천광역시 강화군 강화읍 관청리","34-8","0034","0008","고려팰리스2차","84.51","69.18","202011","16","17,700","3","2016","새말길 10",""
"인천광역시 강화군 강화읍 관청리","34-8","0034","0008","고려팰리스2차","84.48","69.47","202102","2","17,300","3","2016","새말길 10","20210330"
"인천광역시 강화군 강화읍 관청리","34-8","0034","0008","고려팰리스2차","84.48","69.47","202102","2","17,300","4","2016","새말길 10","20210330"
"인천광역시 강화군 강화읍 관청리","15","0015","0000","고려팰리스5차","84.6","55.85","202010","24","17,500","2","2017","새말길 20","20210216"
"인천광역시 강화군 강화읍 관청리","677","0677","0000","궁골주택(677-0)","66.23","35.77","202003","30","1,900","-1","1991","관청길65번길 1",""
"인천광역시 강화군 강화읍 관청리","140-11","0140","0011","나나빌라(라동)","62.16","38.78","202005","20","5,000","3","1994","동문로 20-4",""
"인천광역시 강화군 강화읍 관청리","9-1","0009","0001","남오빌라","100.07","71.48","202006","1","6,800","4","1993","새말길 31",""
"인천광역시 강화군 강화읍 관청리","119-18","0119","0018","다움아트빌","59.93","28.84","202010","30","8,800","3","2009","동문로12번길 10",""
"인천광역시 강화군 강화읍 관청리","828-1","0828","0001","대림빌라(가,나동)","40.56","37.66","202009","15","5,500","3","1990","송악길40번길 8",""
"인천광역시 강화군 강화읍 관청리","828-1","0828","0001","대림빌라(가,나동)","40.56","37.66","202010","13","5,800","3","1990","송악길40번길 8",""
"인천광역시 강화군 강화읍 관청리","819-1","0819","0001","동현빌라(다동)","70.5","40.5","202009","12","4,000","3","1990","궁골길11번길 15",""
"인천광역시 강화군 강화읍 관청리","12-17","0012","0017","리치하우스","59.13","62.73","202101","26","12,800","1","2015","새말길 32",""
"인천광역시 강화군 강화읍 관청리","833-13","0833","0013","삼도주택(가동)","56.95","84.88","202006","27","5,700","2","1984","관청길 83",""
"인천광역시 강화군 강화읍 관청리","833-15","0833","0015","삼도주택(나동)","50.28","64.47","202010","27","6,250","2","1984","관청길 81",""
"인천광역시 강화군 강화읍 관청리","958","0958","0000","삼성쉐르빌2동,3동","76.52","115.94","202011","24","12,800","3","2012","향교길33번길 12",""
"인천광역시 강화군 강화읍 관청리","958-1","0958","0001","삼성쉐르빌4동","76.31","120.63","202006","2","13,000","4","2013","향교길33번길 12",""
"인천광역시 강화군 강화읍 관청리","958-1","0958","0001","삼성쉐르빌4동","76.31","120.63","202101","9","13,300","4","2013","향교길33번길 12",""
"인천광역시 강화군 강화읍 관청리","958-1","0958","0001","삼성쉐르빌4동","76.31","120.63","202102","6","14,300","3","2013","향교길33번길 12",""
"인천광역시 강화군 강화읍 관청리","555-2","0555","0002","송악화이트캐슬(1동,2동,3동)","69.63","31.62","202006","24","15,564","2","2018","북문길9번길 23",""
"인천광역시 강화군 강화읍 관청리","830","0830","0000","수정궁빌라(바동)","49.5","46.11","202101","28","6,200","1","1992","궁골길5번길 2",""
"인천광역시 강화군 강화읍 관청리","831-7","0831","0007","수정궁빌라(아동)","45.9","52.73","202003","24","5,500","1","1992","궁골길5번길 5-1",""
"인천광역시 강화군 강화읍 관청리","831-7","0831","0007","수정궁빌라(아동)","64.44","74.03","202006","30","5,300","-1","1992","궁골길5번길 5-1",""
"인천광역시 강화군 강화읍 관청리","831-7","0831","0007","수정궁빌라(아동)","45.9","52.73","202007","29","5,500","2","1992","궁골길5번길 5-1",""
"인천광역시 강화군 강화읍 관청리","933-2","0933","0002","신태양그린맨션3동","65.39","92.88","202010","8","8,000","4","2003","송악길 51",""
"인천광역시 강화군 강화읍 관청리","933-2","0933","0002","신태양그린맨션3동","65.39","92.88","202102","18","8,200","1","2003","송악길 51",""
"인천광역시 강화군 강화읍 관청리","8","0008","0000","에덴빌라","68.78","63.55","202008","20","5,100","1","1991","새말길 29",""
"인천광역시 강화군 강화읍 관청리","8","0008","0000","에덴빌라","50.95","47.08","202008","29","5,800","3","1991","새말길 29",""
"인천광역시 강화군 강화읍 관청리","772-1","0772","0001","용진빌라(A동A,B동D)","59.7","46.33","202006","1","4,900","4","1992","송악길42번길 14",""
"인천광역시 강화군 강화읍 관청리","774-1","0774","0001","용진빌라(A동C,B동F)","52.74","47.22","202012","30","6,500","4","1992","송악길42번길 14-3",""
"인천광역시 강화군 강화읍 관청리","775-2","0775","0002","용진빌라B5차","75.24","49.56","202008","4","6,500","1","1996","송악길42번길 10-2",""
"인천광역시 강화군 강화읍 관청리","774-2","0774","0002","용진주택","59.79","45.4","202006","15","6,700","1","1994","송악길42번길 10-1",""
"인천광역시 강화군 강화읍 관청리","603","0603","0000","창대빌라","72.39","51.63","202010","28","12,000","3","2009","관청길51번길 13",""
"인천광역시 강화군 강화읍 관청리","947-5","0947","0005","한창주택","73.9","119.56","202006","10","7,300","1","1995","향교길 57",""
"인천광역시 강화군 강화읍 국화리","822-2","0822","0002","(822-2)","50.79","61.5","202006","24","3,351","2","2015","시리미로313번길 29",""
"인천광역시 강화군 강화읍 국화리","822-2","0822","0002","(822-2)","50.79","61.5","202009","2","2,100","3","2015","시리미로313번길 29",""
"인천광역시 강화군 강화읍 국화리","822-2","0822","0002","(822-2)","50.79","61.5","202009","2","2,100","3","2015","시리미로313번길 29",""
"인천광역시 강화군 강화읍 국화리","822-2","0822","0002","(822-2)","50.79","61.5","202009","2","2,100","3","2015","시리미로313번길 29",""
"인천광역시 강화군 강화읍 국화리","822-2","0822","0002","(822-2)","50.79","61.5","202009","2","2,100","4","2015","시리미로313번길 29",""
"인천광역시 강화군 강화읍 국화리","822-2","0822","0002","(822-2)","50.79","61.5","202010","21","3,000","3","2015","시리미로313번길 29",""
"인천광역시 강화군 강화읍 국화리","822-2","0822","0002","(822-2)","50.79","61.5","202010","21","3,000","3","2015","시리미로313번길 29",""
"인천광역시 강화군 강화읍 국화리","822-2","0822","0002","(822-2)","50.79","61.5","202010","21","3,000","3","2015","시리미로313번길 29",""
"인천광역시 강화군 강화읍 국화리","822-2","0822","0002","(822-2)","50.79","61.5","202011","16","3,700","4","2015","시리미로313번길 29",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","84.72","119.87","202003","16","23,000","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","84.37","120.04","202003","31","22,000","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","84.72","119.55","202003","31","22,000","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","84.72","117.4","202004","3","23,000","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","84.47","119.49","202004","20","22,000","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","84.88","119.69","202006","12","20,000","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","84.6","119.55","202006","12","20,000","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","84.9","119.55","202006","12","20,000","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","84.37","120.04","202010","19","22,000","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","82.85","120.04","202011","7","22,500","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","84.72","120.3","202012","5","24,000","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","190-22","0190","0022","고려팰리스7차","84.72","117.4","202101","6","23,800","1","2020","고비고개로 8-1",""
"인천광역시 강화군 강화읍 국화리","162","0162","0000","국화빌라","49.9","35.62","202008","10","5,000","3","1991","강화대로517번길 3",""
"인천광역시 강화군 강화읍 국화리","215-28","0215","0028","들국화맨숀A동","97.92","164.75","202102","5","13,000","2","1994","고비고개로 70-3","20210325"
"인천광역시 강화군 강화읍 국화리","215-28","0215","0028","들국화맨숀A동","97.92","164.75","202102","5","13,200","2","1994","고비고개로 70-3","20210319"
"인천광역시 강화군 강화읍 국화리","175","0175","0000","서문빌라","43.29","41.33","202102","5","4,400","2","1990","강화대로516번길 5-2",""
"인천광역시 강화군 강화읍 국화리","181-5","0181","0005","서문파크맨션(181-5)","56.16","40.52","202005","27","4,700","1","1993","강화대로498번길 9-3",""
"인천광역시 강화군 강화읍 국화리","181-5","0181","0005","서문파크맨션(181-5)","56.16","40.52","202006","10","4,900","1","1993","강화대로498번길 9-3",""
"인천광역시 강화군 강화읍 국화리","181","0181","0000","하이츠빌라(가동)","50.22","54.06","202010","22","4,200","1","1990","강화대로498번길 9",""
"인천광역시 강화군 강화읍 국화리","224-3","0224","0003","한창주택","98.92","166.09","202004","27","12,000","4","2000","고비고개로 41",""
"인천광역시 강화군 강화읍 국화리","224-3","0224","0003","한창주택","103.48","173.75","202009","22","12,000","2","2000","고비고개로 41",""
"인천광역시 강화군 강화읍 국화리","167-1","0167","0001","혜영","55.54","82.64","202006","25","6,000","2","1988","고비고개로18번길 6",""
"인천광역시 강화군 강화읍 국화리","167-1","0167","0001","혜영","49.27","73.26","202102","5","5,500","2","1988","고비고개로18번길 6",""
"인천광역시 강화군 강화읍 남산리","479-1","0479","0001","건영3차","67.95","109.44","202004","10","8,700","4","2009","충렬사로 132",""
"인천광역시 강화군 강화읍 남산리","479-1","0479","0001","건영3차","67.95","109.44","202007","19","8,200","3","2009","충렬사로 132",""
"인천광역시 강화군 강화읍 남산리","479-2","0479","0002","건영빌라","67.95","102.38","202008","15","8,100","2","2009","충렬사로 132-3",""
"인천광역시 강화군 강화읍 남산리","286-2","0286","0002","건영빌라(가동)","69.98","42.2","202004","29","9,000","1","2002","충렬사로22번길 6",""
"인천광역시 강화군 강화읍 남산리","286-2","0286","0002","건영빌라(가동)","67.25","40.55","202011","21","8,600","4","2002","충렬사로22번길 6",""
