"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 상업/업무용(매매)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","유형","지번","도로명","용도지역","건축물주용도","도로조건","전용/연면적(㎡)","대지면적(㎡)","거래금액(만원)","층","계약년월","계약일","지분구분","건축년도","해제사유발생일"
"충청남도 공주시 반포면 마암리","일반","6**","왕흥장악로","계획관리","제2종근린생활","12m미만","181","495.00","32,000","null","202011","10"," ","null",""
"충청남도 공주시 반포면 마암리","일반","6**","왕흥장악로","계획관리","제2종근린생활","12m미만","181","495.00","32,000","null","202011","19"," ","null",""
"충청남도 공주시 반포면 마암리","일반","4*","큰칡골길","계획관리","제1종근린생활","8m미만","117.92","655.00","15,320","null","202101","26"," ","2009",""
"충청남도 공주시 반포면 봉곡리","일반","4**","-","제1종일반주거","제2종근린생활","8m미만","85.14","355.00","14,750","null","202003","11"," ","2003","20200820"
"충청남도 공주시 반포면 봉곡리","일반","4**","-","제1종일반주거","제2종근린생활","8m미만","85.14","355.00","14,750","null","202003","11"," ","2003","20200311"
"충청남도 공주시 반포면 온천리","일반","3**","사봉길","자연녹지","제2종근린생활","8m미만","276.12","1245.00","93,500","null","202006","8"," ","2012",""
"충청남도 공주시 반포면 온천리","일반","1**","-","제2종일반주거","제2종근린생활","-","196.2","361.00","55,000","null","202007","6"," ","1999","20200820"
"충청남도 공주시 반포면 온천리","일반","1**","원전말길","제1종일반주거","제2종근린생활","25m미만","196.2","361.00","55,000","null","202007","6"," ","1999",""
"충청남도 공주시 반포면 온천리","일반","1**","원전말길","제1종일반주거","제1종근린생활","8m미만","1239.45","1150.00","186,800","null","202009","23"," ","2014",""
"충청남도 공주시 반포면 온천리","일반","1**","원전말길","제1종일반주거","제1종근린생활","8m미만","199.5","1060.00","61,100","null","202009","23"," ","2014",""
"충청남도 공주시 반포면 온천리","일반","1**","원전말길","제1종일반주거","제1종근린생활","8m미만","1239.45","1349.00","188,900","null","202009","23"," ","2014","20201125"
"충청남도 공주시 반포면 온천리","일반","1**","원전말길","제1종일반주거","제1종근린생활","8m미만","199.5","1060.00","61,100","null","202009","23"," ","2014","20201125"
"충청남도 공주시 반포면 학봉리","일반","7**","동학사1로","계획관리","제1종근린생활","8m미만","109.93","238.20","20,800","null","202004","6"," ","1976",""
"충청남도 공주시 반포면 학봉리","일반","7**","동학사1로","계획관리","제1종근린생활","8m미만","109.93","238.20","20,800","null","202004","6"," ","1976","20200501"
"충청남도 공주시 반포면 학봉리","집합","7**","동학사1로","계획관리","제1종근린생활","12m미만","157.6"," ","54,000","null","202004","16"," ","1976",""
"충청남도 공주시 반포면 학봉리","일반","4**","제석골길","자연녹지","제2종근린생활","8m미만","201.96","571.00","78,000","null","202005","12"," ","1986",""
"충청남도 공주시 반포면 학봉리","일반","9**","임금봉길","계획관리","숙박","12m미만","1586.23","862.60","127,000","null","202006","3"," ","2003",""
"충청남도 공주시 반포면 학봉리","일반","3**","-","개발제한구역","제1종근린생활","8m미만","492.75","1195.00","110,000","null","202006","4"," ","2001",""
"충청남도 공주시 반포면 학봉리","일반","9**","임금봉길","계획관리","숙박","12m미만","1442.57","977.90","150,000","null","202006","26"," ","2004",""
"충청남도 공주시 반포면 학봉리","일반","6**","동학사1로","계획관리","숙박","12m미만","486.97","533.00","97,775","null","202008","10"," ","2017",""
