"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"충청남도 공주시 계룡면 화헌리","8*","단독","8m미만","82","251","202011","18","14,000","1985","구부내로",""
"충청남도 공주시 계룡면 화헌리","8*","단독","8m미만","82","251","202009","30","14,000","1985","구부내로","20201124"
"충청남도 공주시 계룡면 화헌리","2**","단독","8m미만","46.27","893","202012","7","7,660","1968","화마루길",""
"충청남도 공주시 교동","2**","다가구","8m미만","646.11","711.4","202007","13","36,000","2001","무령로",""
"충청남도 공주시 교동","9*","단독","8m미만","71.28","66.1","202004","16","3,200","1984","옛군청옆길",""
"충청남도 공주시 교동","1**","단독","8m미만","101.38","93","202005","7","6,900","1984","옛군청옆길",""
"충청남도 공주시 교동","1**","단독","8m미만","101.38","93","202006","16","7,850","1984","옛군청옆길","20200622"
"충청남도 공주시 교동","1**","단독","8m미만","101.38","93","202006","19","7,100","1984","옛군청옆길",""
"충청남도 공주시 교동","1**","단독","8m미만","55.64","128.6","202008","14","7,000","1973","옛군청옆길",""
"충청남도 공주시 교동","2**","단독","8m미만","65.05","137.2","202101","19","6,300","1984","향교1길",""
"충청남도 공주시 교동","4*","단독","25m미만","84.84","189.5","202008","21","15,000","2020","용당길",""
"충청남도 공주시 교동","*","단독","12m미만","165.69","190.5","202003","19","22,000","1985","교동2길",""
"충청남도 공주시 교동","1**","단독","8m미만","84.28","276.3","202004","14","22,589","1965","옛군청뒷길",""
"충청남도 공주시 교동","*","단독","12m미만","440.73","398.6","202004","14","20,000","1961","교동1길",""
"충청남도 공주시 금성동","8*","단독","8m미만","28","102","202007","2","5,000","1976","정자방2길",""
"충청남도 공주시 금성동","1**","단독","8m미만","63.24","150","202006","5","13,200","2016","송산리길",""
"충청남도 공주시 금성동","1**","단독","8m미만","82.5","168.7","202011","2","30,000","2019","미나리2길",""
"충청남도 공주시 금성동","1**","단독","8m미만","68.83","179","202006","12","2,850","1985","정자방2길",""
"충청남도 공주시 금성동","1**","단독","12m미만","157.18","229","202003","7","23,000","1985","봉황로",""
"충청남도 공주시 금성동","7*","단독","8m미만","164.44","241","202004","5","15,000","1990","정자방1길",""
"충청남도 공주시 금성동","7*","단독","8m미만","129.11","270","202101","13","41,400","1982","정자방1길",""
"충청남도 공주시 금학동","2**","단독","8m미만","153.81","148","202011","5","8,600","1988","공주여고길",""
"충청남도 공주시 금학동","2**","단독","8m미만","83.13","163","202102","9","15,000","1990","양지마을2길",""
"충청남도 공주시 금학동","1**","단독","8m미만","52.2","169","202012","8","6,200","1978","뱁새울길",""
"충청남도 공주시 금학동","2**","단독","8m미만","36.36","192","202005","28","5,000","1935","null",""
"충청남도 공주시 금학동","2**","단독","25m미만","49.7","194","202012","8","12,000","1994","양지마을2길",""
"충청남도 공주시 금학동","1**","단독","8m미만","56.62","255","202008","27","6,700","1978","수원지공원길",""
"충청남도 공주시 금학동","2**","단독","8m미만","89.53","255","202008","15","13,000","2012","금학동길",""
"충청남도 공주시 금학동","2**","단독","8m미만","91.65","261","202009","26","14,500","1986","금학동길",""
"충청남도 공주시 금학동","6*","단독","8m미만","85.92","383","202005","13","19,500","1977","우금티로",""
"충청남도 공주시 금학동","2**","단독","8m미만","134.01","544","202101","25","26,500","1989","양지마을1길",""
"충청남도 공주시 금학동","3**","단독","8m미만","97.65","585","202010","8","17,200","1997","뱁새울길",""
"충청남도 공주시 금흥동","6**","다가구","12m미만","370.65","246.2","202101","23","70,000","2014","한적2길",""
"충청남도 공주시 금흥동","6**","다가구","12m미만","401.52","248","202012","10","83,000","2018","한적2길",""
"충청남도 공주시 금흥동","6**","다가구","12m미만","283.86","266","202007","20","54,000","2011","한적2길",""
"충청남도 공주시 금흥동","1**","단독","8m미만","93.84","415","202011","26","23,000","1948","금흥안터길",""
"충청남도 공주시 금흥동","1**","단독","8m미만","81.54","445","202007","1","23,000","1995","연수원길",""
"충청남도 공주시 금흥동","1*","단독","8m미만","215.82","630","202101","22","45,000","2008","중뫼2길",""
"충청남도 공주시 금흥동","8*","단독","8m미만","246.14","1140","202101","20","53,000","2005","윗말길",""
"충청남도 공주시 금흥동","8*","단독","8m미만","246.14","1140","202101","20","53,000","2005","윗말길","20210324"
"충청남도 공주시 동현동","2**","단독","8m미만","43.12","168","202101","2","2,500","1950","동현길",""
"충청남도 공주시 동현동","9*","단독","8m미만","49.57","324","202006","13","18,000","1986","지랭이길",""
"충청남도 공주시 반죽동","2**","다가구","8m미만","266.06","352.9","202102","22","35,000","1995","제민1길",""
"충청남도 공주시 반죽동","3**","단독","8m미만","29.76","56.5","202007","13","3,300","2020","봉황산1길",""
"충청남도 공주시 반죽동","1**","단독","8m미만","53.71","128.9","202009","1","6,000","1984","봉황로",""
"충청남도 공주시 반죽동","2**","단독","8m미만","129.24","135.5","202008","18","18,500","1983","제민2길",""
"충청남도 공주시 반죽동","2**","단독","25m미만","251.91","141.4","202012","9","39,000","1996","봉황로",""
"충청남도 공주시 반죽동","3*","단독","8m미만","64.26","167.3","202003","27","15,500","1974","포교당길",""
"충청남도 공주시 반죽동","2**","단독","8m미만","120.26","188.4","202007","1","15,700","1984","제민2길",""
"충청남도 공주시 반죽동","2**","단독","8m미만","120.26","188.4","202005","27","15,700","1984","제민2길","20200701"
"충청남도 공주시 반죽동","1**","단독","8m미만","58.06","191.7","202010","7","9,500","1971","반죽하봉1길",""
"충청남도 공주시 반죽동","9*","단독","8m미만","59.67","199.2","202007","7","7,200","1981","수청골길",""
"충청남도 공주시 반죽동","2**","단독","8m미만","147.15","224.8","202003","18","24,600","1997","봉황로",""
"충청남도 공주시 반죽동","1**","단독","8m미만","53","363.6","202004","26","10,000","1940","반죽하봉1길",""
"충청남도 공주시 반포면 공암리","5**","단독","12m미만","80.34","211","202008","28","17,000","2004","반포초교길",""
"충청남도 공주시 반포면 공암리","4**","단독","8m미만","282.75","379","202012","30","68,200","2018","공암양지말길",""
"충청남도 공주시 반포면 공암리","1**","단독","8m미만","88.38","497","202003","3","29,030","2017","수실1길",""
"충청남도 공주시 반포면 공암리","*","단독","8m미만","84.71","530","202008","22","26,000","2013","공암막골길",""
"충청남도 공주시 반포면 공암리","4**","단독","8m미만","130.5","553","202009","5","54,000","2003","공암양지말길",""
"충청남도 공주시 반포면 공암리","4**","단독","8m미만","155.12","564","202008","29","48,500","2003","공암양지말길",""
"충청남도 공주시 반포면 공암리","4**","단독","8m미만","133.71","581","202101","25","40,000","2003","공암양지말길",""
"충청남도 공주시 반포면 공암리","*","단독","8m미만","84.71","590","202008","22","27,000","2013","공암막골길","20200902"
"충청남도 공주시 반포면 공암리","4**","단독","8m미만","165.76","693","202003","3","48,000","2004","공암양지말길",""
"충청남도 공주시 반포면 마암리","2**","단독","8m미만","111.57","302","202003","27","32,500","2012","서덕산길",""
"충청남도 공주시 반포면 마암리","4**","단독","8m미만","51.8","498","202011","29","14,500","1970","마티길",""
"충청남도 공주시 반포면 마암리","1**","단독","8m미만","126.45","1193","202006","29","64,600","2003","마티길",""
"충청남도 공주시 반포면 봉곡리","6*","단독","8m미만","69.53","190","202011","13","9,800","1980","원당3길",""
"충청남도 공주시 반포면 봉곡리","6*","단독","8m미만","69.53","227","202006","1","9,000","1989","원당3길",""
"충청남도 공주시 반포면 봉곡리","2**","단독","8m미만","127.25","323","202009","29","20,000","1998","원당2길","20201108"
"충청남도 공주시 반포면 봉곡리","1**","단독","8m미만","96.19","353","202004","22","28,000","2017","펀던길",""
"충청남도 공주시 반포면 봉곡리","4**","단독","8m미만","95.85","493","202003","11","18,750","2003","정광터3길","20200820"
"충청남도 공주시 반포면 봉곡리","4**","단독","8m미만","95.85","493","202003","11","18,750","null","null","20200311"
"충청남도 공주시 반포면 봉곡리","1**","단독","8m미만","99.35","563","202012","19","22,000","2002","펀던길","20210119"
"충청남도 공주시 반포면 봉곡리","1**","단독","8m미만","99.35","563","202012","22","22,000","2002","펀던길",""
"충청남도 공주시 반포면 봉곡리","2**","단독","8m미만","118.26","576","202007","16","15,000","1999","원당1길",""
"충청남도 공주시 반포면 봉곡리","4**","단독","8m미만","197.07","616","202010","31","44,000","2000","가마봉길",""
"충청남도 공주시 반포면 봉곡리","3**","단독","8m미만","63.8","688","202011","12","23,500","1960","가마봉길",""
"충청남도 공주시 반포면 봉곡리","4**","단독","8m미만","39.62","757","202101","23","28,000","2016","금란길",""
"충청남도 공주시 반포면 봉곡리","1**","단독","12m미만","135.95","990","202004","6","40,000","2006","반포초교길",""
"충청남도 공주시 반포면 봉곡리","4**","단독","8m미만","194.35","1063","202007","8","66,500","2007","정광터3길",""
"충청남도 공주시 반포면 상신리","3**","단독","8m미만","197.86","442","202010","7","28,000","2008","상하신길",""
"충청남도 공주시 반포면 상신리","3**","단독","8m미만","147.5","579","202006","23","40,300","1997","상하신길","20200824"
"충청남도 공주시 반포면 상신리","3**","단독","8m미만","147.5","579","202006","23","40,300","1997","상하신길",""
"충청남도 공주시 반포면 상신리","1**","단독","8m미만","64.68","684","202101","19","40,000","2018","도예촌길",""
"충청남도 공주시 반포면 상신리","3**","단독","8m미만","411.54","998","202007","24","95,000","2015","상하신길",""
"충청남도 공주시 반포면 송곡리","8*","단독","8m미만","91.89","227","202101","4","13,000","1994","외송3길",""
"충청남도 공주시 반포면 송곡리","4*","단독","8m미만","70.29","367","202005","4","11,800","2011","외송2길",""
"충청남도 공주시 반포면 송곡리","2**","단독","8m미만","111.87","430","202007","13","30,000","2011","외송1길",""
"충청남도 공주시 반포면 송곡리","3**","단독","8m미만","60","446","202102","2","13,500","2002","내송길",""
"충청남도 공주시 반포면 온천리","5*","단독","8m미만","181.61","330","202008","31","31,000","2005","원전말길",""
"충청남도 공주시 반포면 온천리","1**","단독","8m미만","100","350","202010","26","8,000","1993","원전말길",""
"충청남도 공주시 반포면 온천리","4**","단독","8m미만","161.26","640","202007","24","65,500","2017","사봉길",""
"충청남도 공주시 반포면 온천리","3*","단독","8m미만","109.28","751","202102","9","34,100","2011","원전말길",""
"충청남도 공주시 반포면 온천리","4*","단독","8m미만","80.18","879","202010","20","47,000","1977","원전말길",""
"충청남도 공주시 반포면 하신리","2**","단독","8m미만","110.52","348","202003","3","16,000","1935","null",""
"충청남도 공주시 반포면 하신리","1**","단독","8m미만","152.24","397","202003","5","31,000","2007","하신소1길",""
"충청남도 공주시 반포면 하신리","2**","단독","8m미만","117.6","442","202006","5","17,000","1939","하신소1길",""
"충청남도 공주시 반포면 하신리","1**","단독","8m미만","96.66","481","202005","21","24,000","1918","하신소1길",""
"충청남도 공주시 반포면 하신리","2**","단독","8m미만","131.4","495","202009","5","40,000","1999","하신소1길",""
"충청남도 공주시 반포면 하신리","2**","단독","8m미만","195.68","525","202004","9","46,300","2010","하신소1길",""
"충청남도 공주시 반포면 하신리","2**","단독","8m미만","131.24","635","202005","6","40,000","2005","하신소1길",""
"충청남도 공주시 반포면 하신리","2*","단독","12m미만","96.75","660","202007","7","38,000","2015","상하신길",""
"충청남도 공주시 반포면 하신리","1**","단독","8m미만","109.1","889","202008","2","47,000","1930","하신소2길",""
"충청남도 공주시 반포면 학봉리","3**","단독","8m미만","61.62","103","202006","4","20,000","1997","구모동길",""
"충청남도 공주시 반포면 학봉리","5**","단독","8m미만","188.95","331","202010","11","35,500","2004","석봉길",""
"충청남도 공주시 반포면 학봉리","1**","단독","8m미만","77.65","414","202007","22","29,000","2020","밀목재길","20200817"
"충청남도 공주시 반포면 학봉리","1**","단독","8m미만","77.65","414","202008","28","30,000","2012","밀목재길",""
"충청남도 공주시 반포면 학봉리","6**","단독","8m미만","88.65","489","202003","24","24,500","1925","석봉길",""
"충청남도 공주시 반포면 학봉리","4**","단독","8m미만","169.89","660","202010","24","54,000","2004","제석골길",""
"충청남도 공주시 반포면 학봉리","4*","단독","8m미만","170.16","660","202007","18","29,800","2007","동월2길",""
"충청남도 공주시 반포면 학봉리","7**","단독","8m미만","199.02","902","202101","20","80,000","2013","구모동길",""
"충청남도 공주시 봉정동","3**","단독","8m미만","86.3","482","202007","3","10,000","2003","신경지길",""
"충청남도 공주시 봉정동","4**","단독","8m미만","128.83","660","202007","28","8,180","2020","상촌길",""
"충청남도 공주시 봉황동","3*","단독","8m미만","39.7","49.6","202011","11","3,000","1950","대통1길",""
"충청남도 공주시 봉황동","3*","단독","8m미만","39.7","49.6","202009","28","2,700","1950","대통1길",""
"충청남도 공주시 봉황동","1**","단독","8m미만","82.7","96.9","202004","10","6,000","1990","큰샘2길",""
"충청남도 공주시 봉황동","3*","단독","8m미만","49.5","98.6","202004","27","4,000","1955","대통1길",""
"충청남도 공주시 봉황동","1**","단독","8m미만","47.9","101.8","202007","12","2,600","2020","큰샘1길",""
"충청남도 공주시 봉황동","1**","단독","8m미만","47.9","101.8","202012","30","3,200","1950","큰샘1길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","62.56","119.3","202007","25","11,300","2003","효심1길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","65.59","122.6","202009","15","8,400","1969","효심1길",""
"충청남도 공주시 봉황동","6*","단독","8m미만","137.01","134.9","202003","2","11,900","1984","대통1길",""
"충청남도 공주시 봉황동","3**","단독","8m미만","157.51","139.1","202006","17","13,900","1987","봉황로",""
"충청남도 공주시 봉황동","1**","단독","12m미만","66","145.5","202012","2","6,450","1981","봉황로","20210120"
"충청남도 공주시 봉황동","2**","단독","8m미만","70.2","145.5","202008","9","6,000","1977","일락산1길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","39.7","165.3","202012","31","3,500","1955","효심1길",""
"충청남도 공주시 봉황동","1**","단독","8m미만","56.86","165.3","202011","9","10,000","1981","장대3길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","86.14","185.1","202010","17","5,000","1984","일락산2길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","26.4","190.1","202101","14","4,400","1950","효심1길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","82.85","195.7","202003","20","8,300","1980","일락산1길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","135.88","205","202011","23","8,000","1959","효심1길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","97.08","223.5","202010","10","13,500","1978","효심1길",""
"충청남도 공주시 봉황동","3**","단독","12m미만","76.68","225.3","202101","26","21,000","1984","봉황로",""
"충청남도 공주시 봉황동","2**","단독","8m미만","72.64","232.5","202004","6","10,400","1978","일락산1길",""
"충청남도 공주시 봉황동","1**","단독","8m미만","99","240.7","202101","28","11,800","1998","장대1길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","84.16","244.6","202009","26","6,500","1984","봉황산1길",""
"충청남도 공주시 봉황동","1**","단독","8m미만","191.29","290.5","202005","23","30,000","1987","대통1길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","178.42","307.4","202003","31","24,000","1955","큰샘1길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","87.8","331.6","202003","26","10,500","1985","봉황산2길",""
"충청남도 공주시 봉황동","2**","단독","8m미만","105.51","362.3","202009","1","24,480","1947","효심2길",""
"충청남도 공주시 봉황동","4*","단독","8m미만","82.6","420.2","202004","20","33,000","1950","대통2길",""
"충청남도 공주시 사곡면 신영리","4**","단독","8m미만","73.33","249","202003","4","3,000","1984","진밭양지편길",""
"충청남도 공주시 사곡면 운암리","2**","단독","8m미만","86.4","280","202011","15","3,500","2001","위뜸중방골길",""
"충청남도 공주시 사곡면 월가리","5**","단독","12m미만","44.8","258","202008","21","4,000","1993","정안마곡사로",""
"충청남도 공주시 사곡면 해월리","2**","단독","8m미만","120.57","185","202006","26","8,260","1999","해월새뜸길",""
