"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(전월세)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전월세구분","전용면적(㎡)","계약년월","계약일","보증금(만원)","월세(만원)","층","건축년도","도로명"
"충청남도 공주시 중동","92-1","0092","0001","새롬빌","전세","75.42","202012","2","9,000","0","3","2006","중동2길 13-3"
"충청남도 공주시 중동","92-1","0092","0001","새롬빌","전세","75.42","202012","2","9,000","0","3","2006","중동2길 13-3"
"충청남도 공주시 중학동","226-1","0226","0001","제일맨션C동","월세","64.9","202007","31","300","35","1","1985","제민천3길 12"
"충청남도 공주시 중학동","241-2","0241","0002","청산dream1","전세","18.0575","202007","2","3,500","0","4","2011","병풍바위길 2"
"충청남도 공주시 중학동","241-27","0241","0027","청산dream2","전세","18.4875","202012","2","4,000","0","2","2011","병풍바위길 6"
"충청남도 금산군 금산읍 상리","20-8","0020","0008","두성빌라(20-8)","전세","53.58","202006","3","4,800","0","2","1997","군청6길 33"
"충청남도 금산군 금산읍 상리","20-8","0020","0008","두성빌라(20-8)","전세","53.58","202006","3","4,800","0","2","1997","군청6길 33"
"충청남도 금산군 금산읍 상리","19-1","0019","0001","두성아트빌라","월세","39.38","202010","8","500","35","4","1997","군청6길 22"
"충청남도 금산군 금산읍 상리","29-2","0029","0002","둥지주택","전세","55.9","202005","12","3,800","0","2","1982","비호로 39"
"충청남도 금산군 금산읍 상리","29-2","0029","0002","둥지주택","월세","55.9","202010","28","900","20","1","1982","비호로 39"
"충청남도 금산군 금산읍 상리","29-2","0029","0002","둥지주택","월세","55.9","202101","21","2,000","10","1","1982","비호로 39"
"충청남도 금산군 금산읍 상리","276-12","0276","0012","한국전기통신공사사옥","월세","54.72","202004","30","1,000","20","3","1989","비호산로 10"
"충청남도 금산군 금산읍 상옥리","130","0130","0000","다솔팰리스9차10차","월세","68.7094","202012","18","4,000","50","2","2020","비단로 43-1"
"충청남도 금산군 금산읍 상옥리","130","0130","0000","다솔팰리스9차10차","월세","61.1449","202101","21","4,000","55","5","2020","비단로 43-1"
"충청남도 금산군 금산읍 중도리","224-2","0224","0002","고도빌리지","전세","57.5519","202003","13","13,000","0","5","2019","비호로 89-1"
"충청남도 금산군 금산읍 중도리","224-2","0224","0002","고도빌리지","전세","57.5519","202004","8","13,000","0","4","2019","비호로 89-1"
"충청남도 금산군 금산읍 중도리","55-3","0055","0003","삼덕빌라","전세","59.88","202006","3","3,000","0","4","1991","후곤천길 146"
"충청남도 금산군 금산읍 중도리","223-48","0223","0048","새한빌라(B동)","전세","74.85","202011","25","4,000","0","1","1991","만자동2길 16"
"충청남도 금산군 금산읍 중도리","206-5","0206","0005","한신(가동)","월세","57.87","202004","24","500","25","3","1984","비범2길 29"
"충청남도 금산군 금산읍 하옥리","318-3","0318","0003","성도타운","월세","66.28","202006","13","500","40","2","1996","동산3길 29"
"충청남도 금산군 금성면 의총리","65-1","0065","0001","태원","월세","74.6028","202006","15","2,000","22","1","1970","의총길 24"
"충청남도 금산군 금성면 의총리","65-1","0065","0001","태원","월세","34.5284","202102","6","500","20","2","1970","의총길 24"
"충청남도 금산군 제원면 제원리","263-3","0263","0003","제원빌라","월세","70.18","202102","26","1,000","25","1","1997","제원3길 5-2"
"충청남도 금산군 추부면 마전리","683-20","0683","0020","만인타운하우스","전세","84.66","202006","18","6,000","0","1","2012","산내로 22-8"
"충청남도 금산군 추부면 마전리","683-20","0683","0020","만인타운하우스","월세","79.36","202010","15","1,500","50","3","2012","산내로 22-8"
"충청남도 금산군 추부면 마전리","448-1","0448","0001","으뜸마을","월세","78.0607","202006","10","2,000","50","6","2014","추풍천1길 24"
