"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 단독다가구(매매)"
"주소구분 : 지번주소"
"시도 : 경상북도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","주택유형","도로조건","연면적(㎡)","대지면적(㎡)","계약년월","계약일","거래금액(만원)","건축년도","도로명","해제사유발생일"
"경상북도 경산시 백천동","5**","다가구","25m미만","318.14","212.4","202004","21","54,500","2007","경청로217길",""
"경상북도 경산시 백천동","5**","다가구","12m미만","351.22","223.2","202008","13","35,000","2007","경청로217길",""
"경상북도 경산시 백천동","5**","다가구","12m미만","333.41","226","202007","5","62,100","2008","경청로218길",""
"경상북도 경산시 백천동","5**","다가구","25m미만","350.86","235","202012","30","65,500","2006","경청로219길",""
"경상북도 경산시 백천동","5**","다가구","12m미만","359.8","241.3","202011","25","54,500","2007","경청로219길","20210224"
"경상북도 경산시 백천동","5**","다가구","12m미만","359.8","241.3","202011","25","54,500","2007","경청로219길",""
"경상북도 경산시 백천동","5**","다가구","25m미만","398.72","268.3","202011","9","75,000","2008","백천동로",""
"경상북도 경산시 백천동","5**","단독","12m미만","323.03","216.4","202011","25","36,000","2006","경청로217길",""
"경상북도 경산시 사동","5**","다가구","8m미만","170.46","162.7","202003","26","26,500","1992","계양로16길",""
"경상북도 경산시 사동","6**","다가구","12m미만","348.18","174.9","202005","27","63,500","2015","백양로35길",""
"경상북도 경산시 사동","6**","다가구","12m미만","440.98","220.2","202005","7","42,700","2000","박물관로9길",""
"경상북도 경산시 사동","5**","다가구","12m미만","569.72","264.9","202101","26","93,000","2015","원효로34길",""
"경상북도 경산시 사동","6**","단독","12m미만","87.36","176.9","202102","15","20,000","2007","백양로38길",""
"경상북도 경산시 사동","3**","단독","12m미만","149.48","218.6","202011","20","59,900","2015","솔숲길8길",""
"경상북도 경산시 사동","2**","단독","12m미만","172.21","235.1","202007","7","68,000","2014","솔숲길4길",""
"경상북도 경산시 사동","1**","단독","25m미만","194.01","236.9","202005","20","59,500","2014","백양로29길",""
"경상북도 경산시 사동","2**","단독","12m미만","159.5","237.4","202011","23","55,000","2013","솔숲길4길",""
"경상북도 경산시 사동","2**","단독","12m미만","222.62","252.3","202004","23","69,500","2016","솔숲길4길",""
"경상북도 경산시 사동","2**","단독","12m미만","222.62","252.3","202009","25","72,500","2016","솔숲길4길",""
"경상북도 경산시 사동","9*","단독","12m미만","186.71","255","202010","29","75,000","2015","백양로29길",""
"경상북도 경산시 사동","8*","단독","12m미만","96.84","318.9","202008","15","54,000","2012","백양로29길",""
"경상북도 경산시 사동","8*","단독","12m미만","96.84","318.9","202008","15","54,000","2012","백양로29길","20201027"
"경상북도 경산시 사동","2**","단독","8m미만","192.6","386.1","202007","29","78,000","2015","솔숲길3길",""
"경상북도 경산시 사동","5**","단독","25m미만","2369.52","1887.3","202102","18","435,000","2004","장산로",""
"경상북도 경산시 사정동","2*","단독","25m이상","197.91","109","202006","18","62,500","2016","경산로",""
"경상북도 경산시 사정동","7*","단독","8m미만","68.84","115","202101","6","11,000","1987","경산로",""
"경상북도 경산시 사정동","7*","단독","8m미만","68.84","115","202011","25","11,130","1987","경산로","20201222"
"경상북도 경산시 사정동","1**","단독","8m미만","125.52","139","202009","23","20,000","1990","삼성현로39길",""
"경상북도 경산시 사정동","6*","단독","12m미만","42","182","202012","8","78,000","1991","중앙로4길",""
"경상북도 경산시 사정동","6*","단독","8m미만","73.82","231","202101","19","64,000","1968","중앙로4길",""
"경상북도 경산시 사정동","5*","단독","8m미만","68.76","367","202003","31","40,000","1930","중앙로4길",""
"경상북도 경산시 사정동","5*","단독","8m미만","68.76","367","202003","31","40,000","1930","중앙로4길","20200408"
"경상북도 경산시 삼남동","1**","단독","12m미만","66","106","202010","24","15,900","1986","강변동로",""
"경상북도 경산시 삼남동","1**","단독","25m미만","65.97","117","202007","25","17,000","1986","서상길",""
"경상북도 경산시 삼남동","1**","단독","8m미만","64.86","136","202011","10","14,800","1977","서상길",""
"경상북도 경산시 삼남동","1**","단독","8m미만","64.86","136","202006","20","14,800","1977","서상길","20200821"
"경상북도 경산시 삼남동","7*","단독","8m미만","52.79","173","202011","30","20,876","1977","서상길",""
"경상북도 경산시 삼남동","5*","단독","8m미만","38.87","215","202101","2","28,000","1920","경안로21길",""
"경상북도 경산시 삼남동","1**","단독","25m미만","238.51","379","202006","24","53,000","1980","서상길",""
"경상북도 경산시 삼남동","3*","단독","25m이상","91.9","498","202009","24","73,960","1910","경안로",""
"경상북도 경산시 삼남동","3*","단독","25m이상","91.9","498","202009","25","73,960","1910","경안로","20201008"
"경상북도 경산시 삼북동","2**","단독","12m미만","142.7","135","202005","26","20,000","1997","향교길",""
"경상북도 경산시 삼북동","2**","단독","8m미만","157.35","147.4","202004","24","16,500","1990","장산로29길",""
"경상북도 경산시 삼북동","2**","단독","8m미만","142.14","153.6","202011","6","24,500","1992","장산로25길",""
"경상북도 경산시 삼북동","2**","단독","8m미만","68.76","153.9","202010","23","14,900","1979","장산로",""
"경상북도 경산시 삼북동","9*","단독","25m미만","62.94","155","202008","3","26,000","1975","장산로",""
"경상북도 경산시 삼북동","2**","단독","8m미만","78.05","158.9","202005","21","22,500","1983","장산로29길",""
"경상북도 경산시 삼북동","2**","단독","12m미만","154.41","212.7","202102","24","17,000","1983","장산로29길",""
"경상북도 경산시 삼북동","2**","단독","8m미만","117.48","214.9","202006","24","21,500","1983","원효로4길",""
"경상북도 경산시 삼풍동","5**","다가구","12m미만","456.23","195.9","202006","7","48,000","2004","삼풍로6길",""
