"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"대구광역시 중구 달성동","1**","대","제2종일반주거지역","-","202003","16","27.3","4,797"," ",""
"대구광역시 달성군 다사읍 부곡리","3**","전","개발제한구역","8m미만","202003","16","1754","53,000"," ",""
"대구광역시 중구 달성동","3*","도로","제2종일반주거지역","-","202003","16","6.5","900"," ",""
"대구광역시 중구 남산동","5**","대","제3종일반주거지역","8m미만","202003","17","17","1,500"," ",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","17","74.67","1,792","지분",""
"대구광역시 달성군 다사읍 서재리","4**","도로","준주거지역","8m미만","202003","17","22","1,980"," ",""
"대구광역시 달성군 다사읍 서재리","4**","도로","준주거지역","8m미만","202003","17","22","1,980"," ","20200429"
"대구광역시 수성구 황금동","4**","답","자연녹지지역","8m미만","202003","17","169","11,931","지분",""
"대구광역시 달성군 다사읍 서재리","4**","전","준주거지역","8m미만","202003","17","134","12,150"," ","20200429"
"대구광역시 달성군 다사읍 서재리","4**","전","준주거지역","8m미만","202003","17","134","12,150"," ",""
"대구광역시 남구 대명동","2***","대","제2종일반주거지역","8m미만","202003","17","127.9","13,000"," ",""
"대구광역시 서구 내당동","1***","대","제3종일반주거지역","25m미만","202003","17","195","131,527"," ",""
"대구광역시 수성구 범어동","산1**","임야","자연녹지지역","-","202003","17","495.86","14,578","지분",""
"대구광역시 달성군 논공읍 위천리","4**","전","자연녹지지역","-","202003","17","1468","15,530"," ",""
"대구광역시 수성구 만촌동","6**","구거","개발제한구역","8m미만","202003","17","3.5","150","지분",""
"대구광역시 수성구 황금동","4**","유지","자연녹지지역","8m미만","202003","17","287.67","17,864","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","17","810.99","19,464","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","17","103.19","2,477","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","17","119.85","2,876","지분",""
"대구광역시 달성군 다사읍 서재리","4**","전","준주거지역","8m미만","202003","17","230","22,950"," ",""
"대구광역시 달성군 다사읍 서재리","4**","전","준주거지역","8m미만","202003","17","230","22,950"," ","20200429"
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","17","7572.49","244,213","지분",""
"대구광역시 서구 비산동","1***","전","일반공업지역","12m미만","202003","17","171","25,850"," ","20200721"
"대구광역시 수성구 황금동","4**","답","자연녹지지역","8m미만","202003","17","292.33","29,116","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","17","1240.81","29,469","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","17","149.33","3,584","지분",""
"대구광역시 북구 칠성동2가","3**","대","중심상업지역","25m이상","202003","17","389.8","342,551"," ",""
"대구광역시 수성구 대흥동","8**","대","일반상업지역","25m미만","202003","17","653.9","363,000"," ",""
"대구광역시 달서구 두류동","6**","도로","제2종일반주거지역","-","202003","17","15.33","4,566","지분",""
"대구광역시 달서구 두류동","6**","도로","제2종일반주거지역","-","202003","17","21.59","6,434","지분",""
"대구광역시 서구 비산동","1***","전","일반공업지역","12m미만","202003","17","44","6,600"," ","20200721"
"대구광역시 달성군 논공읍 위천리","4**","전","자연녹지지역","-","202003","17","835","8,830"," ",""
"대구광역시 서구 비산동","1***","전","일반공업지역","12m미만","202003","17","63","9,500"," ","20200721"
"대구광역시 달성군 가창면 오리","3**","답","개발제한구역","8m미만","202003","18","109","1,385"," ",""
"대구광역시 달성군 가창면 오리","3**","답","개발제한구역","8m미만","202003","18","155","1,970"," ",""
"대구광역시 서구 비산동","2**","대","제3종일반주거지역","8m미만","202003","18","5.67","100","지분",""
"대구광역시 달성군 하빈면 묘리","4**","답","개발제한구역","8m미만","202003","18","1928","17,500"," ",""
"대구광역시 달성군 유가읍 상리","9**","대","제1종일반주거지역","12m미만","202003","18","256.1","26,200"," ",""
"대구광역시 동구 중대동","1***","전","자연녹지지역","-","202003","18","21.22","321","지분",""
"대구광역시 달성군 하빈면 동곡리","3**","답","개발제한구역","8m미만","202003","18","1653.33","33,350","지분",""
"대구광역시 동구 숙천동","3**","대","제1종전용주거지역","12m미만","202003","18","309.1","40,205"," ",""
"대구광역시 달서구 진천동","8**","대","제2종일반주거지역","25m이상","202003","18","75.1","43,000","지분","20200728"
"대구광역시 동구 중대동","1***","전","자연녹지지역","-","202003","18","38.9","588","지분",""
"대구광역시 달성군 유가읍 유곡리","1***","전","자연녹지지역","8m미만","202003","18","272.5","6,250","지분",""
"대구광역시 달성군 가창면 오리","3**","답","개발제한구역","8m미만","202003","18","707","8,985"," ",""
"대구광역시 동구 신천동","3**","도로","제3종일반주거지역","-","202003","19","7.13","1,500","지분",""
"대구광역시 달성군 옥포읍 기세리","2**","답","개발제한구역","8m미만","202003","19","489","10,827"," ",""
"대구광역시 남구 대명동","1***","대","근린상업지역","25m이상","202003","19","206.3","101,588"," ",""
"대구광역시 남구 대명동","1***","대","근린상업지역","25m이상","202003","19","243.3","122,234"," ",""
"대구광역시 남구 대명동","1***","대","근린상업지역","25m이상","202003","19","331.2","163,093"," ",""
"대구광역시 남구 대명동","1***","대","근린상업지역","25m이상","202003","19","331.6","163,290"," ",""
"대구광역시 수성구 황금동","산2*","임야","자연녹지지역","-","202003","19","5514.08","168,731","지분",""
"대구광역시 수성구 황금동","산1**","임야","자연녹지지역","-","202003","19","3570","172,253"," ",""
