"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"부산광역시 기장군 기장읍 만화리","4**","전","개발제한구역","8m미만","202003","5","469","9,750"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","6","337","1,001","지분",""
"부산광역시 남구 용호동","5**","대","제3종일반주거지역","8m미만","202003","6","64.3","12,312","지분",""
"부산광역시 북구 구포동","1**","대","제2종일반주거지역","8m미만","202003","6","45.14","2,720","지분",""
"부산광역시 기장군 철마면 장전리","2**","답","개발제한구역","-","202003","6","137","2,800"," ",""
"부산광역시 기장군 정관읍 달산리","1***","주차장","일반공업지역","12m미만","202003","6","912","22,509"," ",""
"부산광역시 동구 범일동","6**","대","일반상업지역","8m미만","202003","6","2.33","250","지분",""
"부산광역시 영도구 동삼동","2**","공장용지","전용공업지역","-","202003","6","1389","271,000"," ",""
"부산광역시 영도구 동삼동","2**","공장용지","전용공업지역","25m이상","202003","6","1389","271,000"," ","20200518"
"부산광역시 금정구 부곡동","7**","도로","제3종일반주거지역","25m미만","202003","6","28","3,300"," ","20200330"
"부산광역시 금정구 부곡동","7**","도로","제3종일반주거지역","25m미만","202003","6","28","3,300"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","6","8621","3,858","지분",""
"부산광역시 기장군 철마면 임기리","2**","도로","개발제한구역","8m미만","202003","6","23","300","지분",""
"부산광역시 영도구 동삼동","2**","공장용지","전용공업지역","-","202003","6","1653","321,900"," ",""
"부산광역시 금정구 구서동","1**","도로","제2종일반주거지역","25m미만","202003","6","78.1","34,114"," ","20200624"
"부산광역시 금정구 구서동","1**","도로","제2종일반주거지역","25m미만","202003","6","78.1","34,114"," ",""
"부산광역시 연제구 거제동","7**","대","제3종일반주거지역","8m미만","202003","6","232","35,000"," ",""
"부산광역시 남구 용호동","5**","대","제3종일반주거지역","12m미만","202003","6","133.6","38,766"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","6","9","4","지분",""
"부산광역시 기장군 기장읍 교리","2**","답","제2종일반주거지역","12m미만","202003","6","267","42,700"," ",""
"부산광역시 영도구 동삼동","2**","공장용지","전용공업지역","-","202003","6","3245","447,500"," ",""
"부산광역시 북구 구포동","1**","대","제2종일반주거지역","25m미만","202003","6","41.18","5,280","지분",""
"부산광역시 영도구 동삼동","2**","공장용지","전용공업지역","-","202003","6","39.5","50","지분",""
"부산광역시 영도구 동삼동","2**","공장용지","전용공업지역","-","202003","6","3","50","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","6","15959","7,141","지분",""
"부산광역시 기장군 철마면 웅천리","6**","답","개발제한구역","-","202003","6","482.5","7,300","지분",""
"부산광역시 금정구 선동","9**","답","개발제한구역","-","202003","6","1984","70,000"," ",""
"부산광역시 기장군 철마면 임기리","2**","전","개발제한구역","-","202003","6","33","700","지분",""
"부산광역시 기장군 정관읍 달산리","1***","잡종지","일반공업지역","-","202003","6","338.9","8,364"," ",""
"부산광역시 기장군 정관읍 용수리","산8*","임야","자연녹지지역","8m미만","202003","6","61.8","950","지분",""
"부산광역시 기장군 정관읍 예림리","산2**","임야","자연녹지지역","8m미만","202003","6","9464","96,304"," ",""
"부산광역시 남구 문현동","7**","대","일반상업지역","8m미만","202003","7","4.6","1,000"," ",""
"부산광역시 사하구 장림동","7**","도로","제3종일반주거지역","8m미만","202003","7","20","1,575"," ",""
"부산광역시 기장군 일광면 삼성리","8**","대","일반상업지역","-","202003","7","694.1","340,000"," ",""
"부산광역시 기장군 철마면 이곡리","6**","전","개발제한구역","8m미만","202003","7","939","45,440"," ",""
"부산광역시 연제구 거제동","1***","대","제3종일반주거지역","8m미만","202003","7","109","49,387"," ",""
"부산광역시 해운대구 반송동","4**","답","개발제한구역","-","202003","7","631","5,900"," ",""
"부산광역시 기장군 철마면 안평리","2**","답","개발제한구역","8m미만","202003","7","884","59,000"," ",""
"부산광역시 기장군 철마면 안평리","2**","답","개발제한구역","8m미만","202003","7","884","59,000"," ","20200417"
"부산광역시 사하구 장림동","7**","도로","제3종일반주거지역","-","202003","7","10","754"," ",""
"부산광역시 남구 용당동","5**","임야","제1종일반주거지역","12m미만","202003","7","127","8,000"," ",""
"부산광역시 강서구 송정동","1**","전","제1종일반주거지역","8m미만","202003","7","23","900"," ",""
"부산광역시 강서구 미음동","산7*","임야","개발제한구역","-","202003","8","165","1,350","지분",""
"부산광역시 남구 감만동","2**","창고용지","전용공업지역","25m이상","202003","8","40","2,700","지분",""
"부산광역시 금정구 선동","2**","답","개발제한구역","-","202003","8","1169","35,500","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","9","337","1,001","지분",""
"부산광역시 강서구 지사동","*","임야","용도미지정","-","202003","9","347","1,031"," ",""
"부산광역시 강서구 생곡동","산3*","임야","개발제한구역","-","202003","9","330","1,307","지분",""
"부산광역시 부산진구 당감동","7**","도로","제2종일반주거지역","-","202003","9","22","1,700"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","9","661","1,963","지분",""
"부산광역시 남구 우암동","1**","대","제3종일반주거지역","8m미만","202003","9","83","12,722"," ",""
"부산광역시 기장군 장안읍 반룡리","9**","공장용지","일반공업지역","25m미만","202003","9","2986.7","134,080"," ",""
"부산광역시 강서구 지사동","1**","답","자연녹지지역","-","202003","9","1507","16,000"," ",""
"부산광역시 기장군 철마면 웅천리","산6*","임야","자연녹지지역","-","202003","9","850","2,600"," ",""
"부산광역시 기장군 일광면 용천리","9**","임야","자연녹지지역","-","202003","9","256","2,800"," ",""
"부산광역시 강서구 식만동","6**","답","개발제한구역","8m미만","202003","9","1488","24,750"," ",""
"부산광역시 부산진구 범천동","8**","대","일반상업지역","12m미만","202003","9","332.9","240,000"," ",""
"부산광역시 금정구 회동동","1**","도로","준공업지역","12m미만","202003","9","8","246","지분",""
"부산광역시 강서구 명지동","3***","대","일반상업지역","25m이상","202003","9","10.16","3,000","지분",""
"부산광역시 사상구 감전동","1**","도로","준공업지역","12m미만","202003","9","137.6","3,000","지분",""
"부산광역시 서구 동대신동1가","*","대","제3종일반주거지역","8m미만","202003","9","24","3,000"," ",""
"부산광역시 기장군 철마면 장전리","산1**","임야","개발제한구역","8m미만","202003","9","827","35,000","지분","20200420"
"부산광역시 남구 대연동","1***","대","제3종일반주거지역","8m미만","202003","9","60","38,300"," ",""
"부산광역시 부산진구 연지동","3**","대","제3종일반주거지역","8m미만","202003","9","2","391"," ",""
"부산광역시 부산진구 부암동","2**","대","일반상업지역","8m미만","202003","9","46.2","4,300","지분",""
"부산광역시 기장군 일광면 신평리","1**","답","제1종일반주거지역","-","202003","9","492","44,700"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","9","165","490","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","9","172","511","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","9","3305","9,801","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","10","337","1,001","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","10","363","1,078","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","10","363","1,089","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","10","330","1,176","지분",""
"부산광역시 부산진구 범천동","1***","도로","일반상업지역","-","202003","10","6","1,323"," ",""
"부산광역시 기장군 장안읍 좌동리","산*","임야","자연녹지지역","8m미만","202003","10","99","1,770","지분",""
"부산광역시 기장군 정관읍 방곡리","1*","전","자연녹지지역","-","202003","10","357","10,800"," ",""
"부산광역시 기장군 일광면 동백리","4**","임야","보전녹지지역","8m미만","202003","10","148","11,243"," ",""
"부산광역시 금정구 노포동","8*","답","개발제한구역","8m미만","202003","10","278","12,000","지분",""
"부산광역시 기장군 일광면 동백리","산5*","임야","보전녹지지역","12m미만","202003","10","2622","121,432"," ",""
"부산광역시 기장군 정관읍 달산리","9**","임야","자연녹지지역","-","202003","10","1921","125,220"," ",""
"부산광역시 기장군 정관읍 용수리","1***","답","자연녹지지역","-","202003","10","3626","131,586"," ",""
"부산광역시 기장군 일광면 동백리","3**","답","보전녹지지역","12m미만","202003","10","238","15,470"," ","20201201"
"부산광역시 금정구 노포동","7*","답","개발제한구역","-","202003","10","382","15,500","지분",""
"부산광역시 수영구 망미동","9**","도로","제2종일반주거지역","8m미만","202003","10","17","152","지분",""
"부산광역시 기장군 일광면 동백리","4**","잡종지","제1종일반주거지역","8m미만","202003","10","512","156,995"," ",""
"부산광역시 금정구 구서동","2**","도로","준주거지역","8m미만","202003","10","41.8","17,500","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","10","9.25","180","지분",""
"부산광역시 기장군 장안읍 좌동리","산*","임야","자연녹지지역","8m미만","202003","10","165","2,650","지분",""
"부산광역시 기장군 장안읍 좌동리","산*","임야","자연녹지지역","8m미만","202003","10","1323","21,200","지분",""
"부산광역시 연제구 거제동","7**","대","제3종일반주거지역","8m미만","202003","10","168","24,300"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","10","99","285","지분",""
"부산광역시 금정구 구서동","2**","도로","준주거지역","8m미만","202003","10","11.76","3,000","지분",""
"부산광역시 기장군 장안읍 좌동리","산*","임야","자연녹지지역","8m미만","202003","10","165","3,150","지분",""
"부산광역시 기장군 장안읍 좌동리","산*","임야","자연녹지지역","8m미만","202003","10","198","3,780","지분",""
"부산광역시 북구 구포동","1***","도로","일반상업지역","8m미만","202003","10","9.38","3,860","지분",""
"부산광역시 연제구 연산동","1***","대","일반상업지역","8m미만","202003","10","331.2","315,000"," ",""
"부산광역시 연제구 연산동","1***","대","일반상업지역","8m미만","202003","10","331.2","320,000"," ","20200427"
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","10","132","392","지분",""
"부산광역시 연제구 연산동","1***","대","일반상업지역","8m미만","202003","10","424.1","404,600"," ",""
"부산광역시 연제구 연산동","1***","대","일반상업지역","8m미만","202003","10","424.1","409,600"," ","20200427"
"부산광역시 부산진구 부암동","2*","대","일반상업지역","12m미만","202003","10","56","43,000"," ",""
"부산광역시 수영구 망미동","9**","도로","제2종일반주거지역","8m미만","202003","10","50","448","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","10","165","490","지분",""
"부산광역시 금정구 노포동","7*","답","개발제한구역","-","202003","10","100","5,000","지분",""
"부산광역시 기장군 장안읍 좌동리","산*","임야","자연녹지지역","8m미만","202003","10","265","5,040","지분",""
"부산광역시 부산진구 범천동","1***","도로","일반상업지역","25m이상","202003","10","23","5,072"," ",""
"부산광역시 기장군 장안읍 좌동리","산*","임야","자연녹지지역","8m미만","202003","10","330","5,300","지분",""
"부산광역시 기장군 장안읍 좌동리","산*","임야","자연녹지지역","8m미만","202003","10","330","5,900","지분",""
"부산광역시 서구 부민동1가","1*","대","일반상업지역","12m미만","202003","10","62.8","50,000"," ",""
"부산광역시 금정구 노포동","9**","전","개발제한구역","8m미만","202003","10","608","59,400"," ",""
"부산광역시 기장군 장안읍 좌동리","산*","임야","자연녹지지역","8m미만","202003","10","330","6,300","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","10","208","618","지분",""
"부산광역시 기장군 일광면 동백리","산5*","임야","제1종일반주거지역","-","202003","10","2030","645,569"," ",""
"부산광역시 기장군 기장읍 청강리","1**","대","제2종일반주거지역","25m미만","202003","10","372.7","66,500"," ","20200424"
"부산광역시 기장군 장안읍 좌동리","산*","임야","자연녹지지역","8m미만","202003","10","397","7,560","지분",""
"부산광역시 기장군 장안읍 좌동리","산*","임야","자연녹지지역","8m미만","202003","10","495","7,950","지분",""
"부산광역시 기장군 일광면 동백리","3**","답","제1종일반주거지역","12m미만","202003","10","1557","701,440"," ","20201201"
"부산광역시 기장군 정관읍 용수리","1***","답","자연녹지지역","-","202003","10","2023","73,414"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","10","337","821","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","10","330","980","지분",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","11","337","1,001","지분",""
"부산광역시 수영구 광안동","1***","도로","제3종일반주거지역","8m미만","202003","11","6","1,230"," ",""
"부산광역시 서구 토성동5가","2*","대","일반상업지역","8m미만","202003","11","4.3","1,386"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","11","661","1,963","지분",""
"부산광역시 부산진구 범천동","1***","대","제3종일반주거지역","8m미만","202003","11","61","10,230","지분",""
"부산광역시 연제구 거제동","1***","주차장","자연녹지지역","8m미만","202003","11","1209","106,063","지분",""
"부산광역시 기장군 장안읍 반룡리","5**","전","자연녹지지역","8m미만","202003","11","299","11,500"," ",""
"부산광역시 사상구 덕포동","7**","대","제3종일반주거지역","8m미만","202003","11","2.45","140"," ",""
"부산광역시 연제구 거제동","1***","주차장","자연녹지지역","8m미만","202003","11","186","16,317"," ",""
"부산광역시 남구 문현동","7**","대","일반상업지역","8m미만","202003","11","21.5","18,500"," ",""
"부산광역시 서구 토성동5가","2*","대","일반상업지역","12m미만","202003","11","8.3","2,676"," ",""
"부산광역시 강서구 대저1동","1***","전","제1종일반주거지역","8m미만","202003","11","2201","243,000"," ",""
"부산광역시 부산진구 범천동","1***","대","제3종일반주거지역","8m미만","202003","11","22.5","3,770","지분",""
"부산광역시 강서구 녹산동","1***","대","제1종일반주거지역","8m미만","202003","11","573.5","33,000","지분",""
"부산광역시 남구 대연동","1***","도로","일반상업지역","25m이상","202003","11","258","35,244"," ",""
"부산광역시 동구 수정동","5**","대","제3종일반주거지역","8m미만","202003","11","33","4,554"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","11","1652","4,906","지분",""
"부산광역시 서구 토성동5가","2*","대","일반상업지역","8m미만","202003","11","1.3","419"," ",""
"부산광역시 수영구 광안동","1**","대","일반상업지역","8m미만","202003","11","90.38","43,000","지분",""
"부산광역시 연제구 거제동","1***","주차장","자연녹지지역","8m미만","202003","11","501","43,948","지분",""
"부산광역시 연제구 거제동","1***","주차장","자연녹지지역","8m미만","202003","11","501","43,948","지분","20200804"
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","11","337","495","지분",""
"부산광역시 서구 토성동5가","2*","도로","일반상업지역","8m미만","202003","11","16.5","5,319"," ",""
"부산광역시 연제구 거제동","1***","주차장","자연녹지지역","8m미만","202003","11","604.5","53,028","지분",""
"부산광역시 연제구 거제동","1***","주차장","자연녹지지역","8m미만","202003","11","604.5","53,028","지분","20200804"
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","11","363","534","지분",""
"부산광역시 금정구 두구동","6**","전","제1종일반주거지역","12m미만","202003","11","56","7,000"," ",""
"부산광역시 기장군 장안읍 오리","8*","과수원","보전녹지지역","-","202003","11","584","8,830"," ",""
"부산광역시 수영구 광안동","7**","도로","제2종일반주거지역","8m미만","202003","11","15","800"," ",""
"부산광역시 기장군 철마면 장전리","5**","전","개발제한구역","8m미만","202003","11","247","9,800"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","12","337","1,001","지분",""
"부산광역시 서구 암남동","6**","잡종지","준공업지역","25m미만","202003","12","795","113,000"," ",""
"부산광역시 남구 용호동","5**","대","제3종일반주거지역","8m미만","202003","12","70.1","16,685","지분",""
"부산광역시 부산진구 범천동","1***","대","제2종일반주거지역","8m미만","202003","12","46","2,200"," ",""
"부산광역시 기장군 정관읍 예림리","6**","답","생산녹지지역","25m미만","202003","12","261","20,500"," ",""
"부산광역시 부산진구 초읍동","5*","대","자연녹지지역","8m미만","202003","12","139","21,000"," ","20200406"
"부산광역시 기장군 일광면 문중리","산*","임야","보전녹지지역","-","202003","12","851","27,000"," ",""
"부산광역시 강서구 성북동","1**","잡종지","자연녹지지역","8m미만","202003","12","229","28,684"," ",""
"부산광역시 기장군 정관읍 매학리","8**","대","제1종일반주거지역","12m미만","202003","12","216.9","29,500"," ",""
"부산광역시 남구 대연동","산*","임야","근린상업지역","-","202003","12","716","3,165"," ",""
"부산광역시 부산진구 범천동","1***","도로","제2종일반주거지역","25m미만","202003","12","10.13","307","지분",""
"부산광역시 해운대구 중동","6**","전","제1종일반주거지역","8m미만","202003","12","119","31,000"," ","20201209"
"부산광역시 기장군 정관읍 달산리","1***","대","제1종일반주거지역","25m미만","202003","12","232","31,000"," ",""
"부산광역시 강서구 지사동","산*","임야","자연녹지지역","-","202003","12","330","485","지분",""
"부산광역시 강서구 대항동","6*","전","자연녹지지역","12m미만","202003","12","776","51,000"," ",""
"부산광역시 동래구 명륜동","5**","잡종지","준주거지역","-","202003","12","9","6,806","지분",""
"부산광역시 북구 만덕동","6*","답","자연녹지지역","8m미만","202003","12","228","8,000"," ",""
"부산광역시 부산진구 양정동","5*","대","제3종일반주거지역","12m미만","202003","12","23","8,000"," ",""
"부산광역시 부산진구 범천동","1***","대","제2종일반주거지역","25m미만","202003","12","3.07","93","지분",""
