"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 광주광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적(㎡)","거래금액(만원)","지분구분","해제사유발생일"
"광주광역시 서구 광천동","6**","도로","제3종일반주거지역","-","202003","10","17","4,655","지분",""
"광주광역시 남구 석정동","5**","임야","개발제한구역","8m미만","202003","10","111.33","500","지분",""
"광주광역시 광산구 대산동","5**","전","생산관리지역","-","202003","10","410","6,000"," ",""
"광주광역시 서구 광천동","5**","도로","제3종일반주거지역","-","202003","10","23","6,724","지분",""
"광주광역시 광산구 월전동","1**","대","자연녹지지역","8m미만","202003","10","2","60","지분",""
"광주광역시 남구 화장동","1***","답","개발제한구역","8m미만","202003","10","750","7,260"," ",""
"광주광역시 남구 봉선동","5**","전","제1종일반주거지역","8m미만","202003","10","99","7,500"," ",""
"광주광역시 서구 양동","3**","대","제3종일반주거지역","8m미만","202003","10","37","8,000"," ",""
"광주광역시 서구 광천동","5**","도로","제3종일반주거지역","-","202003","10","27.63","8,922","지분",""
"광주광역시 북구 양산동","4**","대","일반공업지역","-","202003","10","298.6","9,973"," ",""
"광주광역시 광산구 월전동","1**","대","자연녹지지역","8m미만","202003","10","3.17","90","지분",""
"광주광역시 서구 화정동","1***","도로","제2종일반주거지역","-","202003","10","16","968"," ",""
"광주광역시 북구 운암동","7**","답","제2종일반주거지역","8m미만","202003","11","31.5","1,210","지분",""
"광주광역시 북구 청풍동","8*","전","개발제한구역","-","202003","11","886","1,500","지분",""
"광주광역시 북구 효령동","4**","답","개발제한구역","8m미만","202003","11","853","10,000"," ",""
"광주광역시 북구 운암동","7**","답","제2종일반주거지역","8m미만","202003","11","283","10,940","지분",""
"광주광역시 북구 운암동","7**","답","제2종일반주거지역","8m미만","202003","11","297","11,450","지분",""
"광주광역시 북구 동림동","9**","답","생산녹지지역","8m미만","202003","11","331","18,000","지분",""
"광주광역시 북구 망월동","1**","답","개발제한구역","-","202003","11","520","2,355"," ",""
"광주광역시 광산구 삼거동","3***","대","용도미지정","-","202003","11","300.1","24,000"," ",""
"광주광역시 북구 효령동","4**","답","개발제한구역","8m미만","202003","11","2046","25,000"," ",""
"광주광역시 광산구 신가동","1***","대","제2종일반주거지역","12m미만","202003","11","193.3","25,700"," ",""
"광주광역시 서구 쌍촌동","산7*","임야","제1종일반주거지역","12m미만","202003","11","481","39,000"," ","20200311"
"광주광역시 북구 양산동","4**","공장용지","일반공업지역","12m미만","202003","11","1692.6","45,000"," ",""
"광주광역시 광산구 하산동","2**","전","제2종일반주거지역","-","202003","11","675.33","45,900","지분",""
"광주광역시 북구 운암동","7**","답","제2종일반주거지역","12m미만","202003","11","146","5,630","지분",""
"광주광역시 서구 벽진동","5**","답","개발제한구역","8m미만","202003","11","2552","54,039"," ",""
"광주광역시 남구 임암동","6**","대","제2종일반주거지역","25m미만","202003","11","295.7","62,172","지분",""
"광주광역시 북구 운암동","7**","답","제2종일반주거지역","8m미만","202003","11","190","7,320","지분",""
"광주광역시 북구 운암동","7**","답","제2종일반주거지역","12m미만","202003","11","19.5","750","지분",""
"광주광역시 서구 쌍촌동","9**","도로","제2종일반주거지역","25m미만","202003","12","20","1,000","지분",""
"광주광역시 광산구 오운동","1**","답","개발제한구역","-","202003","12","936","1,163"," ",""
"광주광역시 남구 월산동","2**","대","제2종일반주거지역","8m미만","202003","12","7.47","1,167","지분",""
"광주광역시 남구 봉선동","5**","답","제1종일반주거지역","25m미만","202003","12","100","10,650"," ",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","2.07","100","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","2.05","100","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","2.65","128","지분",""
"광주광역시 북구 임동","1**","학교용지","일반공업지역","12m미만","202003","12","86","13,000"," ",""
"광주광역시 동구 금동","9*","대","중심상업지역","8m미만","202003","12","178.5","14,000"," ",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","317.66","15,560","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","2.9","151","지분",""
"광주광역시 남구 월산동","2**","대","제2종일반주거지역","8m미만","202003","12","13.87","2,188","지분",""
"광주광역시 광산구 오운동","4*","답","개발제한구역","-","202003","12","2945","2,769"," ",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","4.08","202","지분",""
"광주광역시 서구 광천동","7**","전","제3종일반주거지역","8m미만","202003","12","102.39","23,000","지분",""
"광주광역시 동구 소태동","8**","답","개발제한구역","-","202003","12","155","233"," ",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","499.2","24,600"," ",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","503.7","24,700"," ",""
"광주광역시 남구 월산동","2**","대","제2종일반주거지역","8m미만","202003","12","7","250","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","5.31","260","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","5.82","280","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","79.37","3,890","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","80.09","3,920","지분",""
"광주광역시 남구 봉선동","5**","답","제1종일반주거지역","25m미만","202003","12","3","352"," ",""
"광주광역시 광산구 본덕동","5**","답","개발제한구역","8m미만","202003","12","688","4,200"," ",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","8.2","400","지분",""
"광주광역시 북구 동림동","9**","답","생산녹지지역","8m미만","202003","12","820","44,640","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","994.9","48,558"," ",""
"광주광역시 남구 월산동","2**","도로","제2종일반주거지역","8m미만","202003","12","14.13","506","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","1.34","65","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","1.33","65","지분",""
"광주광역시 광산구 오운동","7*","답","개발제한구역","8m미만","202003","12","612","668"," ",""
"광주광역시 광산구 송치동","5**","전","제1종일반주거지역","8m미만","202003","12","823","7,000"," ",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","158.19","7,750","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","1.45","71","지분",""
"광주광역시 북구 동림동","9**","답","생산녹지지역","8m미만","202003","12","165","9,000","지분",""
"광주광역시 남구 주월동","1***","대","준주거지역","12m미만","202003","12","1997.9","98,000"," ",""
"광주광역시 남구 봉선동","5**","답","제1종일반주거지역","25m미만","202003","12","10","998"," ",""
"광주광역시 북구 운암동","7**","답","제2종일반주거지역","12m미만","202003","13","19.5","1,100"," ",""
"광주광역시 북구 운암동","7**","대","제2종일반주거지역","8m미만","202003","13","31.5","1,100"," ",""
"광주광역시 광산구 지산동","2**","대","개발제한구역","-","202003","13","215","1,250"," ",""
"광주광역시 광산구 지평동","1**","답","개발제한구역","8m미만","202003","13","245","1,411"," ",""
"광주광역시 북구 운암동","4**","주차장","준주거지역","12m미만","202003","13","122.6","10,000"," ",""
"광주광역시 북구 운암동","7**","답","제2종일반주거지역","8m미만","202003","13","297","10,000"," ",""
"광주광역시 북구 운암동","7**","답","제2종일반주거지역","8m미만","202003","13","283","11,800"," ",""
"광주광역시 남구 송하동","1**","대","제3종일반주거지역","-","202003","13","142.5","13,282","지분",""
"광주광역시 서구 유촌동","6**","답","생산녹지지역","-","202003","13","2560","145,280"," ",""
"광주광역시 서구 유촌동","6**","답","생산녹지지역","8m미만","202003","13","2668","165,435"," ",""
"광주광역시 광산구 장덕동","1***","도로","제2종전용주거지역","25m미만","202003","13","70.99","4,870","지분","20200610"
"광주광역시 북구 운암동","7**","답","제2종일반주거지역","12m미만","202003","13","146","6,600"," ",""
"광주광역시 서구 유촌동","6**","답","생산녹지지역","-","202003","13","1100","62,515"," ",""
"광주광역시 광산구 장덕동","1***","대","제2종전용주거지역","8m미만","202003","13","325.3","64,850"," ","20200610"
"광주광역시 북구 운암동","7**","답","제2종일반주거지역","8m미만","202003","13","190","7,300"," ",""
"광주광역시 북구 생용동","1**","주차장","개발제한구역","25m이상","202003","13","808","8,000","지분",""
"광주광역시 동구 산수동","4**","대","제2종일반주거지역","8m미만","202003","14","20","1,200","지분",""
"광주광역시 광산구 삼도동","1**","답","개발제한구역","8m미만","202003","14","606","1,588"," ",""
"광주광역시 광산구 삼도동","1**","답","개발제한구역","8m미만","202003","14","624","1,635"," ",""
"광주광역시 광산구 삼도동","1**","답","개발제한구역","8m미만","202003","14","678","1,777"," ",""
"광주광역시 광산구 비아동","6**","전","자연녹지지역","25m이상","202003","14","1033","124,800"," ",""
"광주광역시 서구 농성동","4**","답","일반상업지역","12m미만","202003","14","210.75","21,840","지분",""
"광주광역시 서구 농성동","4**","답","일반상업지역","8m미만","202003","14","287.25","26,900","지분",""
"광주광역시 북구 오치동","9**","대","제2종일반주거지역","8m미만","202003","14","4.7","50"," ",""
"광주광역시 서구 농성동","4**","답","일반상업지역","12m미만","202003","14","70","7,260","지분",""
"광주광역시 광산구 신촌동","산7*","임야","자연녹지지역","-","202003","14","1884.5","7,800","지분",""
