"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 연립다세대(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","건물명","전용면적(㎡)","대지권면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 대덕구 덕암동","72-18","0072","0018","우석하이츠(2동)","53.28","32.2","202003","25","3,200","3","1994","덕암로159번길 27",""
"대전광역시 대덕구 덕암동","72-18","0072","0018","우석하이츠(2동)","35.64","21.54","202006","27","2,750","3","1994","덕암로159번길 27",""
"대전광역시 대덕구 덕암동","55-3","0055","0003","원일주택(가,나,다동)","45.72","47.35","202009","17","4,100","2","1989","덕암로221번길 43",""
"대전광역시 대덕구 덕암동","55-9","0055","0009","원일주택(라동)","45.72","36.6","202007","16","3,500","1","1989","덕암로221번길 41",""
"대전광역시 대덕구 덕암동","108-11","0108","0011","원창빌라","45.21","38.76","202102","2","2,800","3","1990","덕암로125번안길 22",""
"대전광역시 대덕구 덕암동","108-11","0108","0011","원창빌라","45.21","38.76","202102","6","3,900","3","1990","덕암로125번안길 22",""
"대전광역시 대덕구 덕암동","23-4","0023","0004","장원아트빌","66.274","43.65","202010","28","14,800","5","2015","덕암북로70번길 67",""
"대전광역시 대덕구 덕암동","8-11","0008","0011","정궁주택(라동)","44.72","36.12","202012","31","3,000","1","1990","덕암북로22번길 55-4",""
"대전광역시 대덕구 덕암동","8-9","0008","0009","정궁주택(마동)","44.72","38.3","202006","11","4,500","1","1990","덕암북로22번길 55-3",""
"대전광역시 대덕구 덕암동","61-1","0061","0001","정명빌라","58.21","31.57","202008","17","5,500","2","1997","덕암로195번길 41",""
"대전광역시 대덕구 덕암동","1-19","0001","0019","제일빌라(A동)","43.98","28.18","202101","18","4,250","1","1991","덕암북로10번길 6",""
"대전광역시 대덕구 덕암동","2-2","0002","0002","중앙","48.87","53.88","202003","4","3,000","3","1985","덕암로265번길 119",""
"대전광역시 대덕구 덕암동","2-2","0002","0002","중앙","48.87","53.88","202009","7","4,500","3","1985","덕암로265번길 119",""
"대전광역시 대덕구 덕암동","2-2","0002","0002","중앙","48.87","53.88","202101","20","3,950","1","1985","덕암로265번길 119",""
"대전광역시 대덕구 덕암동","72-3","0072","0003","진베스트빌","72.21","42.26","202011","24","9,900","2","2004","덕암로159번길 31",""
"대전광역시 대덕구 덕암동","72-3","0072","0003","진베스트빌","72.21","42.26","202101","28","13,000","2","2004","덕암로159번길 31",""
"대전광역시 대덕구 덕암동","61-11","0061","0011","진성주택","58.83","32.16","202007","6","5,500","3","1993","덕암로195번길 25",""
"대전광역시 대덕구 덕암동","61-11","0061","0011","진성주택","58.83","32.15","202010","4","5,150","1","1993","덕암로195번길 25",""
"대전광역시 대덕구 덕암동","61-11","0061","0011","진성주택","58.83","32.16","202012","12","5,500","4","1993","덕암로195번길 25",""
"대전광역시 대덕구 덕암동","55-12","0055","0012","진성주택(가,나동)","44.16","22.19","202005","24","3,200","2","1992","덕암로221번길 47",""
"대전광역시 대덕구 덕암동","55-2","0055","0002","진성주택(다,라동)","42.115","21.14","202102","25","3,300","2","1992","덕암로221번길 49",""
"대전광역시 대덕구 덕암동","62-8","0062","0008","평화주택(A,B동)","49.81","40.23","202011","3","4,800","3","1991","덕암로181번길 36",""
"대전광역시 대덕구 덕암동","64-15","0064","0015","한라(A동)","52.02","33.27","202007","7","4,200","3","1991","덕암로173번길 13",""
"대전광역시 대덕구 덕암동","64-15","0064","0015","한라(A동)","52.02","33.27","202008","19","3,500","1","1991","덕암로173번길 13",""
"대전광역시 대덕구 덕암동","64-15","0064","0015","한라(A동)","52.02","33.27","202012","17","6,000","3","1991","덕암로173번길 13",""
"대전광역시 대덕구 덕암동","64-14","0064","0014","한라(B동)","52.02","32.16","202007","22","4,900","4","1991","덕암로173번길 15",""
"대전광역시 대덕구 덕암동","2-6","0002","0006","한라빌라(가,나동)","44.28","41.19","202012","28","4,200","1","1989","덕암북로10번길 15",""
"대전광역시 대덕구 덕암동","77-10","0077","0010","현대빌라","45.72","47.26","202006","26","3,500","1","1989","덕암로153번길 33",""
"대전광역시 대덕구 덕암동","77-10","0077","0010","현대빌라","45.72","47.26","202102","27","3,950","2","1989","덕암로153번길 33",""
"대전광역시 대덕구 덕암동","23-11","0023","0011","현암빌라","59.2","58.31","202007","28","4,400","4","1991","덕암북로4번길 111",""
"대전광역시 대덕구 덕암동","109-10","0109","0010","화인","44.16","29.37","202004","6","3,800","3","1991","덕암로125번길 30",""
"대전광역시 대덕구 덕암동","44-14","0044","0014","흥진빌라(가동)","50.87","31.46","202008","16","3,000","3","1995","덕암북로72번길 49",""
"대전광역시 대덕구 비래동","115-42","0115","0042","(115-42)","46.25","37.9","202003","24","4,000","2","1990","우암로492번길 78",""
"대전광역시 대덕구 비래동","149-6","0149","0006","(149-6)","62.64","62.7","202011","4","5,800","1","1986","우암로 424-2",""
"대전광역시 대덕구 비래동","130-13","0130","0013","가양파크","56","73.92","202004","23","7,100","1","1983","비래동로39번길 22",""
"대전광역시 대덕구 비래동","130-13","0130","0013","가양파크","56","73.92","202012","22","6,500","1","1983","비래동로39번길 22",""
"대전광역시 대덕구 비래동","130-13","0130","0013","가양파크","56","73.92","202012","29","7,500","2","1983","비래동로39번길 22",""
"대전광역시 대덕구 비래동","137-30","0137","0030","광성빌라","43.8","33.03","202006","26","7,000","1","1991","비래서로61번길 51",""
"대전광역시 대덕구 비래동","129-2","0129","0002","구룡빌라","81.91","59.15","202006","23","14,200","3","2000","비래동로39번길 25",""
