"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200229 ~ 20210228"
"실거래구분 : 오피스텔(매매)"
"주소구분 : 지번주소"
"시도 : 세종특별자치시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","32.19","202003","11","10,650","4","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","24.03","202003","25","8,500","4","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","27.43","202004","21","8,950","5","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","24.03","202006","3","8,400","8","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","24.03","202007","4","8,500","6","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","27.09","202007","8","9,450","7","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","24.03","202007","23","9,000","8","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","24.03","202007","25","8,500","6","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","24.03","202007","26","8,500","8","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","24.03","202007","29","10,000","8","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","27.43","202008","8","9,500","8","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","31.17","202008","15","11,000","4","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","27.09","202009","17","9,450","7","2014","보듬3로 8-20",""
"세종특별자치시 도담동","246-5","246","5","세종한신휴시티","27.43","202012","19","9,500","6","2014","보듬3로 8-20",""
"세종특별자치시 어진동","null","0","0","2차푸르지오시티","21.92","202003","4","7,500","11","2014"," ",""
"세종특별자치시 어진동","null","0","0","2차푸르지오시티","21.92","202003","4","7,700","8","2014"," ",""
"세종특별자치시 어진동","null","0","0","2차푸르지오시티","36.58","202003","8","15,200","17","2014"," ","20200327"
"세종특별자치시 어진동","null","0","0","2차푸르지오시티","23.24","202004","6","7,200","8","2014"," ",""
"세종특별자치시 어진동","null","0","0","2차푸르지오시티","21.92","202005","26","7,300","8","2014"," ",""
"세종특별자치시 어진동","null","0","0","2차푸르지오시티","21.92","202005","26","7,200","12","2014"," ",""
